iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
AIA,North America,Anguilla,2021-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,,,,9932.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,,,,9932.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,,,,9932.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,,,,9932.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,,,,9932.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,,,,9932.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,,,,9932.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.0,,,,9932.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1341.0,1341.0,,,149.0,8.94,8.94,,9932.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2762.0,2762.0,,1421.0,331.0,18.41,18.41,,22064.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.0,,,,21530.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.0,,,,21064.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.0,,,,20597.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0,,,,20064.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.0,,,,19597.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,,,,19064.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,6466.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,6466.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,6466.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,6466.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,6466.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3929.0,3929.0,,,97.0,26.19,26.19,,6466.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,6199.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,5933.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,5733.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,5466.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,5199.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,4933.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,4666.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,4666.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,4666.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,4666.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700.0,4700.0,,,70.0,31.33,31.33,,4666.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,4733.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,4733.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,4799.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0,5000.0,,,73.0,33.33,33.33,,4866.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,4733.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,4599.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,4533.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,4333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,4199.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5348.0,5348.0,,,60.0,35.65,35.65,,3999.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,3533.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,3133.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,2800.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,2400.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,2066.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,1733.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5835.0,5835.0,,,20.0,38.89,38.89,,1333.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,2200.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,3000.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,3799.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,4599.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,5466.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,,6266.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,7066.0,,15002.0,,,,,,,,,,,,,81.88,,
AIA,North America,Anguilla,2021-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,7066.0,,15002.0,,,,,,,,,,,,,81.88,,
