iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ALB,Europe,Albania,2020-02-25,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,0.003,0.003,,,,,tests performed,,,,,,,,,,8.33,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
ALB,Europe,Albania,2020-02-26,,,,,,,,,,,,,,,,,,,,,,5.0,13.0,0.005,0.002,,,,,tests performed,,,,,,,,,,8.33,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
ALB,Europe,Albania,2020-02-27,,,,,,,,,,,,,,,,,,,,,,4.0,17.0,0.006,0.001,,,,,tests performed,,,,,,,,,,8.33,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
ALB,Europe,Albania,2020-02-28,,,,,,,,,,,,,,,,,,,,,,1.0,18.0,0.006,0.0,,,,,tests performed,,,,,,,,,,8.33,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
ALB,Europe,Albania,2020-02-29,,,,,,,,,,,,,,,,,,,,,,8.0,26.0,0.009,0.003,,,,,tests performed,,,,,,,,,,8.33,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
ALB,Europe,Albania,2020-03-01,,,,,,,,,,,,,,,,,,,,,,3.0,29.0,0.01,0.001,,,,,tests performed,,,,,,,,,,8.33,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
ALB,Europe,Albania,2020-03-02,,,,,,,,,,,,,,,,,,,,,,2.0,31.0,0.011,0.001,,,,,tests performed,,,,,,,,,,8.33,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
ALB,Europe,Albania,2020-03-03,,,,,,,,,,,,,,,,,,,,,,5.0,36.0,0.013,0.002,4.0,0.001,,,tests performed,,,,,,,,,,8.33,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
ALB,Europe,Albania,2020-03-04,,,,,,,,,,,,,,,,,,,,,,6.0,42.0,0.015,0.002,4.0,0.001,,,tests performed,,,,,,,,,,8.33,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
ALB,Europe,Albania,2020-03-05,,,,,,,,,,,,,,,,,,,,,,8.0,50.0,0.017,0.003,5.0,0.002,,,tests performed,,,,,,,,,,8.33,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
