iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
AND,Europe,Andorra,2020-03-02,1.0,1.0,,,,,12.942,12.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-03,1.0,0.0,,,,,12.942,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-04,1.0,0.0,,,,,12.942,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-05,1.0,0.0,,,,,12.942,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-06,1.0,0.0,,,,,12.942,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-07,1.0,0.0,0.143,,,0.0,12.942,0.0,1.849,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-08,1.0,0.0,0.143,,,0.0,12.942,0.0,1.849,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-09,1.0,0.0,0.0,,,0.0,12.942,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-10,1.0,0.0,0.0,,,0.0,12.942,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-11,1.0,0.0,0.0,,,0.0,12.942,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-12,1.0,0.0,0.0,,,0.0,12.942,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-13,1.0,0.0,0.0,,,0.0,12.942,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.26,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-14,1.0,0.0,0.0,,,0.0,12.942,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-15,1.0,0.0,0.0,,,0.0,12.942,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-16,2.0,1.0,0.143,,,0.0,25.885,12.942,1.849,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-17,39.0,37.0,5.429,,,0.0,504.756,478.871,70.259,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-18,39.0,0.0,5.429,,,0.0,504.756,0.0,70.259,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-19,53.0,14.0,7.429,,,0.0,685.951,181.195,96.144,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-20,75.0,22.0,10.571,,,0.0,970.685,284.734,136.82,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-21,88.0,13.0,12.429,,,0.0,1138.937,168.252,160.856,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AND,Europe,Andorra,2020-03-22,113.0,25.0,16.0,1.0,1.0,0.143,1462.499,323.562,207.08,12.942,12.942,1.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
