iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
BHS,North America,Bahamas,2020-03-16,1.0,1.0,,,,,2.543,2.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-03-17,1.0,0.0,,,,,2.543,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-03-18,1.0,0.0,,,,,2.543,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-03-19,3.0,2.0,,,,,7.629,5.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-03-20,3.0,0.0,,,,,7.629,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-03-21,4.0,1.0,0.571,,,0.0,10.172,2.543,1.453,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-03-22,4.0,0.0,0.571,,,0.0,10.172,0.0,1.453,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-03-23,4.0,0.0,0.429,,,0.0,10.172,0.0,1.09,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-03-24,5.0,1.0,0.571,,,0.0,12.715,2.543,1.453,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-03-25,5.0,0.0,0.571,,,0.0,12.715,0.0,1.453,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-03-26,9.0,4.0,0.857,,,0.0,22.886,10.172,2.18,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-03-27,10.0,1.0,1.0,,,0.0,25.429,2.543,2.543,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-03-28,10.0,0.0,0.857,,,0.0,25.429,0.0,2.18,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-03-29,11.0,1.0,1.0,,,0.0,27.972,2.543,2.543,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-03-30,14.0,3.0,1.429,,,0.0,35.601,7.629,3.633,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-03-31,14.0,0.0,1.286,,,0.0,35.601,0.0,3.269,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-04-01,21.0,7.0,2.286,1.0,1.0,0.143,53.401,17.8,5.812,2.543,2.543,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-04-02,24.0,3.0,2.143,1.0,0.0,0.143,61.03,7.629,5.449,2.543,0.0,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-04-03,24.0,0.0,2.0,1.0,0.0,0.143,61.03,0.0,5.086,2.543,0.0,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-04-04,28.0,4.0,2.571,4.0,3.0,0.571,71.202,10.172,6.539,10.172,7.629,1.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-04-05,28.0,0.0,2.429,4.0,0.0,0.571,71.202,0.0,6.176,10.172,0.0,1.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
BHS,North America,Bahamas,2020-04-06,29.0,1.0,2.143,5.0,1.0,0.714,73.745,2.543,5.449,12.715,2.543,1.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,
