iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
BRN,Asia,Brunei,2020-03-09,1.0,1.0,,,,,2.286,2.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,437483.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838
BRN,Asia,Brunei,2020-03-10,1.0,0.0,,,,,2.286,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,437483.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838
BRN,Asia,Brunei,2020-03-11,11.0,10.0,,,,,25.144,22.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,437483.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838
BRN,Asia,Brunei,2020-03-12,11.0,0.0,,,,,25.144,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,437483.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838
BRN,Asia,Brunei,2020-03-13,37.0,26.0,,,,,84.575,59.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,437483.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838
BRN,Asia,Brunei,2020-03-14,40.0,3.0,5.714,,,0.0,91.432,6.857,13.062,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,437483.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838
BRN,Asia,Brunei,2020-03-15,50.0,10.0,7.143,,,0.0,114.29,22.858,16.327,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,437483.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838
BRN,Asia,Brunei,2020-03-16,54.0,4.0,7.571,,,0.0,123.433,9.143,17.307,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,437483.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838
BRN,Asia,Brunei,2020-03-17,56.0,2.0,7.857,,,0.0,128.005,4.572,17.96,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,437483.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838
BRN,Asia,Brunei,2020-03-18,68.0,12.0,8.143,,,0.0,155.435,27.43,18.613,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,437483.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838
