iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
BWA,Africa,Botswana,2020-03-30,3.0,3.0,,,,,1.276,1.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BWA,Africa,Botswana,2020-03-31,4.0,1.0,,1.0,1.0,,1.701,0.425,,0.425,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BWA,Africa,Botswana,2020-04-01,4.0,0.0,,1.0,0.0,,1.701,0.0,,0.425,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BWA,Africa,Botswana,2020-04-02,4.0,0.0,,1.0,0.0,,1.701,0.0,,0.425,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BWA,Africa,Botswana,2020-04-03,4.0,0.0,,1.0,0.0,,1.701,0.0,,0.425,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BWA,Africa,Botswana,2020-04-04,4.0,0.0,0.571,1.0,0.0,0.143,1.701,0.0,0.243,0.425,0.0,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BWA,Africa,Botswana,2020-04-05,6.0,2.0,0.857,1.0,0.0,0.143,2.551,0.85,0.364,0.425,0.0,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BWA,Africa,Botswana,2020-04-06,6.0,0.0,0.429,1.0,0.0,0.143,2.551,0.0,0.182,0.425,0.0,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BWA,Africa,Botswana,2020-04-07,6.0,0.0,0.286,1.0,0.0,0.0,2.551,0.0,0.121,0.425,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BWA,Africa,Botswana,2020-04-08,6.0,0.0,0.286,1.0,0.0,0.0,2.551,0.0,0.121,0.425,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BWA,Africa,Botswana,2020-04-09,13.0,7.0,1.286,1.0,0.0,0.0,5.528,2.977,0.547,0.425,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BWA,Africa,Botswana,2020-04-10,13.0,0.0,1.286,1.0,0.0,0.0,5.528,0.0,0.547,0.425,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BWA,Africa,Botswana,2020-04-11,13.0,0.0,1.286,1.0,0.0,0.0,5.528,0.0,0.547,0.425,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BWA,Africa,Botswana,2020-04-12,13.0,0.0,1.0,1.0,0.0,0.0,5.528,0.0,0.425,0.425,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BWA,Africa,Botswana,2020-04-13,13.0,0.0,1.0,1.0,0.0,0.0,5.528,0.0,0.425,0.425,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BWA,Africa,Botswana,2020-04-14,13.0,0.0,1.0,1.0,0.0,0.0,5.528,0.0,0.425,0.425,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BWA,Africa,Botswana,2020-04-15,13.0,0.0,1.0,1.0,0.0,0.0,5.528,0.0,0.425,0.425,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BWA,Africa,Botswana,2020-04-16,15.0,2.0,0.286,1.0,0.0,0.0,6.379,0.85,0.121,0.425,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
BWA,Africa,Botswana,2020-04-17,15.0,0.0,0.286,1.0,0.0,0.0,6.379,0.0,0.121,0.425,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
