iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
CHL,South America,Chile,2020-02-23,2.0,2.0,,,,,0.105,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-02-24,2.0,0.0,,,,,0.105,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-02-25,2.0,0.0,,,,,0.105,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-02-26,2.0,0.0,,,,,0.105,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-02-27,2.0,0.0,,,,,0.105,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-02-28,2.0,0.0,0.286,,,0.0,0.105,0.0,0.015,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-02-29,2.0,0.0,0.286,,,0.0,0.105,0.0,0.015,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-01,9.0,7.0,1.0,,,0.0,0.471,0.366,0.052,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-02,9.0,0.0,1.0,,,0.0,0.471,0.0,0.052,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-03,10.0,1.0,1.143,,,0.0,0.523,0.052,0.06,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-04,10.0,0.0,1.143,,,0.0,0.523,0.0,0.06,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-05,13.0,3.0,1.571,,,0.0,0.68,0.157,0.082,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-06,13.0,0.0,1.571,,,0.0,0.68,0.0,0.082,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-07,13.0,0.0,1.571,,,0.0,0.68,0.0,0.082,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-08,20.0,7.0,1.571,,,0.0,1.046,0.366,0.082,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-09,20.0,0.0,1.571,,,0.0,1.046,0.0,0.082,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-10,25.0,5.0,2.143,,,0.0,1.308,0.262,0.112,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-11,35.0,10.0,3.571,,,0.0,1.831,0.523,0.187,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-12,35.0,0.0,3.143,,,0.0,1.831,0.0,0.164,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-13,55.0,20.0,6.0,,,0.0,2.877,1.046,0.314,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-14,88.0,33.0,10.714,,,0.0,4.603,1.726,0.56,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-15,101.0,13.0,11.571,,,0.0,5.283,0.68,0.605,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-16,182.0,81.0,23.143,,,0.0,9.521,4.237,1.211,,,0.0,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-17,228.0,46.0,29.0,,,0.0,11.927,2.406,1.517,,,0.0,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-18,265.0,37.0,32.857,,,0.0,13.863,1.936,1.719,,,0.0,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-19,265.0,0.0,32.857,,,0.0,13.863,0.0,1.719,,,0.0,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-20,461.0,196.0,58.0,,,0.0,24.116,10.253,3.034,,,0.0,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
CHL,South America,Chile,2020-03-21,592.0,131.0,72.0,,,0.0,30.968,6.853,3.766,,,0.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,19116209.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
