iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
CIV,Africa,Cote d'Ivoire,2020-03-11,1.0,1.0,,,,,0.038,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,26378275.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538
CIV,Africa,Cote d'Ivoire,2020-03-12,1.0,0.0,,,,,0.038,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,26378275.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538
CIV,Africa,Cote d'Ivoire,2020-03-13,1.0,0.0,,,,,0.038,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,26378275.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538
CIV,Africa,Cote d'Ivoire,2020-03-14,1.0,0.0,,,,,0.038,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,26378275.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538
CIV,Africa,Cote d'Ivoire,2020-03-15,1.0,0.0,,,,,0.038,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,26378275.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538
CIV,Africa,Cote d'Ivoire,2020-03-16,1.0,0.0,0.143,,,0.0,0.038,0.0,0.005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,26378275.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538
CIV,Africa,Cote d'Ivoire,2020-03-17,5.0,4.0,0.714,,,0.0,0.19,0.152,0.027,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,26378275.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538
CIV,Africa,Cote d'Ivoire,2020-03-18,6.0,1.0,0.714,,,0.0,0.227,0.038,0.027,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,26378275.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538
CIV,Africa,Cote d'Ivoire,2020-03-19,9.0,3.0,1.143,,,0.0,0.341,0.114,0.043,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,26378275.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538
CIV,Africa,Cote d'Ivoire,2020-03-20,9.0,0.0,1.143,,,0.0,0.341,0.0,0.043,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,26378275.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538
