iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
COG,Africa,Congo,2020-03-15,1.0,1.0,,,,,0.181,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-03-16,1.0,0.0,,,,,0.181,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-03-17,1.0,0.0,,,,,0.181,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-03-18,1.0,0.0,,,,,0.181,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-03-19,3.0,2.0,,,,,0.544,0.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-03-20,3.0,0.0,0.429,,,0.0,0.544,0.0,0.078,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-03-21,3.0,0.0,0.429,,,0.0,0.544,0.0,0.078,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-03-22,3.0,0.0,0.286,,,0.0,0.544,0.0,0.052,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-03-23,4.0,1.0,0.429,,,0.0,0.725,0.181,0.078,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-03-24,4.0,0.0,0.429,,,0.0,0.725,0.0,0.078,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-03-25,4.0,0.0,0.429,,,0.0,0.725,0.0,0.078,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-03-26,4.0,0.0,0.143,,,0.0,0.725,0.0,0.026,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-03-27,4.0,0.0,0.143,,,0.0,0.725,0.0,0.026,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-03-28,4.0,0.0,0.143,,,0.0,0.725,0.0,0.026,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.56,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-03-29,19.0,15.0,2.286,,,0.0,3.443,2.718,0.414,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.56,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-03-30,19.0,0.0,2.143,,,0.0,3.443,0.0,0.388,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-03-31,19.0,0.0,2.143,,,0.0,3.443,0.0,0.388,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-01,19.0,0.0,2.143,,,0.0,3.443,0.0,0.388,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-02,22.0,3.0,2.571,2.0,2.0,0.286,3.987,0.544,0.466,0.362,0.362,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-03,22.0,0.0,2.571,2.0,0.0,0.286,3.987,0.0,0.466,0.362,0.0,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-04,22.0,0.0,2.571,2.0,0.0,0.286,3.987,0.0,0.466,0.362,0.0,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-05,45.0,23.0,3.714,5.0,3.0,0.714,8.155,4.168,0.673,0.906,0.544,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-06,45.0,0.0,3.714,5.0,0.0,0.714,8.155,0.0,0.673,0.906,0.0,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-07,45.0,0.0,3.714,5.0,0.0,0.714,8.155,0.0,0.673,0.906,0.0,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-08,45.0,0.0,3.714,5.0,0.0,0.714,8.155,0.0,0.673,0.906,0.0,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-09,60.0,15.0,5.429,5.0,0.0,0.429,10.873,2.718,0.984,0.906,0.0,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-10,60.0,0.0,5.429,5.0,0.0,0.429,10.873,0.0,0.984,0.906,0.0,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-11,60.0,0.0,5.429,5.0,0.0,0.429,10.873,0.0,0.984,0.906,0.0,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-12,60.0,0.0,2.143,5.0,0.0,0.0,10.873,0.0,0.388,0.906,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-13,60.0,0.0,2.143,5.0,0.0,0.0,10.873,0.0,0.388,0.906,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-14,60.0,0.0,2.143,5.0,0.0,0.0,10.873,0.0,0.388,0.906,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-15,117.0,57.0,10.286,5.0,0.0,0.0,21.203,10.33,1.864,0.906,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-16,117.0,0.0,8.143,5.0,0.0,0.0,21.203,0.0,1.476,0.906,0.0,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-17,143.0,26.0,11.857,6.0,1.0,0.143,25.915,4.712,2.149,1.087,0.181,0.026,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-18,143.0,0.0,11.857,6.0,0.0,0.143,25.915,0.0,2.149,1.087,0.0,0.026,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-19,143.0,0.0,11.857,6.0,0.0,0.143,25.915,0.0,2.149,1.087,0.0,0.026,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-20,160.0,17.0,14.286,6.0,0.0,0.143,28.996,3.081,2.589,1.087,0.0,0.026,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-21,165.0,5.0,15.0,6.0,0.0,0.143,29.902,0.906,2.718,1.087,0.0,0.026,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-22,186.0,21.0,9.857,6.0,0.0,0.143,33.707,3.806,1.786,1.087,0.0,0.026,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-23,186.0,0.0,9.857,6.0,0.0,0.143,33.707,0.0,1.786,1.087,0.0,0.026,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-24,200.0,14.0,8.143,6.0,0.0,0.0,36.244,2.537,1.476,1.087,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-25,200.0,0.0,8.143,6.0,0.0,0.0,36.244,0.0,1.476,1.087,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-26,200.0,0.0,8.143,6.0,0.0,0.0,36.244,0.0,1.476,1.087,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-27,200.0,0.0,5.714,6.0,0.0,0.0,36.244,0.0,1.036,1.087,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COG,Africa,Congo,2020-04-28,207.0,7.0,6.0,8.0,2.0,0.286,37.513,1.269,1.087,1.45,0.362,0.052,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,97.22,5518092.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
