iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
EST,Europe,Estonia,2020-02-12,,,,,,,,,,,,,,,,1.0,0.754,,,,,,,,,,,,,,,,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-02-26,,,,,,,,,,,,,,0.0,0.0,1.0,0.754,,,,,,13.0,0.01,,,,,,tests performed,,,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-02-27,1.0,1.0,,,,,0.754,0.754,,,,,,0.0,0.0,1.0,0.754,,,,,10.0,23.0,0.017,0.008,,,,,tests performed,,,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-02-28,1.0,0.0,,,,,0.754,0.0,,,,,,0.0,0.0,1.0,0.754,,,,,13.0,36.0,0.027,0.01,,,,,tests performed,,,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-02-29,1.0,0.0,,,,,0.754,0.0,,,,,,0.0,0.0,1.0,0.754,,,,,8.0,44.0,0.033,0.006,,,,,tests performed,,,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-01,1.0,0.0,,,,,0.754,0.0,,,,,,0.0,0.0,1.0,0.754,,,0.998,0.752,18.0,62.0,0.047,0.014,,,,,tests performed,,,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-02,1.0,0.0,,,,,0.754,0.0,,,,,,0.0,0.0,1.0,0.754,,,,,22.0,84.0,0.063,0.017,,,,,tests performed,,,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-03,2.0,1.0,0.286,,,0.0,1.508,0.754,0.215,,,0.0,,0.0,0.0,1.0,0.754,,,,,29.0,113.0,0.085,0.022,,,,,tests performed,,,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-04,2.0,0.0,0.286,,,0.0,1.508,0.0,0.215,,,0.0,,0.0,0.0,1.0,0.754,,,,,36.0,149.0,0.112,0.027,19.0,0.014,0.015,66.4,tests performed,,,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-05,3.0,1.0,0.286,,,0.0,2.262,0.754,0.215,,,0.0,,0.0,0.0,1.0,0.754,,,,,35.0,184.0,0.139,0.026,23.0,0.017,0.012,80.4,tests performed,,,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-06,10.0,7.0,1.286,,,0.0,7.538,5.277,0.969,,,0.0,,0.0,0.0,1.0,0.754,,,,,72.0,256.0,0.193,0.054,31.0,0.023,0.041,24.1,tests performed,,,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-07,10.0,0.0,1.286,,,0.0,7.538,0.0,0.969,,,0.0,,0.0,0.0,1.0,0.754,,,,,29.0,285.0,0.215,0.022,34.0,0.026,0.038,26.4,tests performed,,,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-08,10.0,0.0,1.286,,,0.0,7.538,0.0,0.969,,,0.0,,0.0,0.0,1.0,0.754,,,,,20.0,305.0,0.23,0.015,35.0,0.026,0.037,27.2,tests performed,,,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-09,10.0,0.0,1.286,,,0.0,7.538,0.0,0.969,,,0.0,,0.0,0.0,1.0,0.754,,,,,65.0,370.0,0.279,0.049,41.0,0.031,0.031,31.9,tests performed,,,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-10,12.0,2.0,1.429,,,0.0,9.046,1.508,1.077,,,0.0,,0.0,0.0,2.0,1.508,,,,,61.0,431.0,0.325,0.046,45.0,0.034,0.032,31.5,tests performed,,,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-11,16.0,4.0,2.0,,,0.0,12.061,3.015,1.508,,,0.0,,0.0,0.0,2.0,1.508,,,,,74.0,505.0,0.381,0.056,51.0,0.038,0.039,25.5,tests performed,,,,,,,,,,0.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-12,16.0,0.0,1.857,,,0.0,12.061,0.0,1.4,,,0.0,,0.0,0.0,1.0,0.754,,,,,137.0,642.0,0.484,0.103,65.0,0.049,0.029,35.0,tests performed,,,,,,,,,,25.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-13,79.0,63.0,9.857,,,0.0,59.553,47.492,7.431,,,0.0,,0.0,0.0,2.0,1.508,,,,,207.0,849.0,0.64,0.156,85.0,0.064,0.116,8.6,tests performed,,,,,,,,,,25.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-14,115.0,36.0,15.0,,,0.0,86.692,27.138,11.308,,,0.0,,0.0,0.0,3.0,2.262,,,,,166.0,1015.0,0.765,0.125,104.0,0.078,0.144,6.9,tests performed,,,,,,,,,,33.33,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-15,171.0,56.0,23.0,,,0.0,128.907,42.215,17.338,,,0.0,1.48,0.0,0.0,4.0,3.015,,,3.993,3.01,503.0,1518.0,1.144,0.379,173.0,0.13,0.133,7.5,tests performed,,,,,,,,,,33.33,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-16,205.0,34.0,27.857,,,0.0,154.537,25.631,21.0,,,0.0,1.45,0.0,0.0,6.0,4.523,,,,,326.0,1844.0,1.39,0.246,211.0,0.159,0.132,7.6,tests performed,,,,,,,,,,44.44,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-17,225.0,20.0,30.429,,,0.0,169.614,15.077,22.938,,,0.0,1.41,0.0,0.0,10.0,7.538,,,,,197.0,2041.0,1.539,0.149,230.0,0.173,0.132,7.6,tests performed,,,,,,,,,,50.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-18,258.0,33.0,34.571,,,0.0,194.491,24.877,26.061,,,0.0,1.38,0.0,0.0,14.0,10.554,,,,,542.0,2583.0,1.947,0.409,297.0,0.224,0.116,8.6,tests performed,,,,,,,,,,50.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-19,267.0,9.0,35.857,,,0.0,201.276,6.785,27.031,,,0.0,1.36,0.0,0.0,20.0,15.077,,,,,379.0,2962.0,2.233,0.286,331.0,0.25,0.108,9.2,tests performed,,,,,,,,,,50.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-20,283.0,16.0,29.143,,,0.0,213.337,12.061,21.969,,,0.0,1.35,2.0,1.508,24.0,18.092,,,,,415.0,3377.0,2.546,0.313,361.0,0.272,0.081,12.4,tests performed,,,,,,,,,,50.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-21,306.0,23.0,27.286,,,0.0,230.675,17.338,20.569,,,0.0,1.35,4.0,3.015,25.0,18.846,,,,,649.0,4026.0,3.035,0.489,430.0,0.324,0.063,15.8,tests performed,,,,,,,,,,50.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-22,326.0,20.0,22.143,,,0.0,245.752,15.077,16.692,,,0.0,1.36,6.0,4.523,28.0,21.108,,,32.939,24.831,165.0,4191.0,3.159,0.124,382.0,0.288,0.058,17.3,tests performed,,,,,,,,,,50.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-23,352.0,26.0,21.0,,,0.0,265.352,19.6,15.831,,,0.0,1.38,7.0,5.277,36.0,27.138,,,,,524.0,4715.0,3.554,0.395,410.0,0.309,0.051,19.5,tests performed,,,,,,,,,,50.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-24,369.0,17.0,20.571,,,0.0,278.167,12.815,15.508,,,0.0,1.4,7.0,5.277,40.0,30.154,,,,,1438.0,6153.0,4.638,1.084,587.0,0.443,0.035,28.5,tests performed,,,,,,,,,,50.0,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-25,404.0,35.0,20.857,1.0,1.0,0.143,304.552,26.384,15.723,0.754,0.754,0.108,1.43,7.0,5.277,47.0,35.431,,,,,1063.0,7216.0,5.44,0.801,662.0,0.499,0.032,31.7,tests performed,,,,,,,,,,61.11,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-26,538.0,134.0,38.714,1.0,0.0,0.143,405.567,101.015,29.184,0.754,0.0,0.108,1.46,7.0,5.277,52.0,39.2,,,,,1162.0,8378.0,6.316,0.876,774.0,0.583,0.05,20.0,tests performed,,,,,,,,,,61.11,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-27,575.0,37.0,41.714,1.0,0.0,0.143,433.459,27.892,31.446,0.754,0.0,0.108,1.41,10.0,7.538,59.0,44.477,,,,,1283.0,9661.0,7.283,0.967,898.0,0.677,0.046,21.5,tests performed,,,,,,,,,,72.22,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-28,645.0,70.0,48.429,1.0,0.0,0.143,486.228,52.769,36.507,0.754,0.0,0.108,1.37,10.0,7.538,72.0,54.277,,,,,1063.0,10724.0,8.084,0.801,957.0,0.721,0.051,19.8,tests performed,,,,,,,,,,72.22,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-29,679.0,34.0,50.429,3.0,2.0,0.429,511.858,25.631,38.015,2.262,1.508,0.323,1.32,13.0,9.8,88.0,66.338,,,71.868,54.177,870.0,11594.0,8.74,0.656,1058.0,0.798,0.048,21.0,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-30,715.0,36.0,51.857,3.0,0.0,0.429,538.997,27.138,39.092,2.262,0.0,0.323,1.28,13.0,9.8,95.0,71.615,,,,,1189.0,12783.0,9.636,0.896,1153.0,0.869,0.045,22.2,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-03-31,745.0,30.0,53.714,4.0,1.0,0.571,561.612,22.615,40.492,3.015,0.754,0.431,1.25,15.0,11.308,102.0,76.892,,,,,2025.0,14808.0,11.163,1.527,1236.0,0.932,0.043,23.0,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-04-01,779.0,34.0,53.571,5.0,1.0,0.571,587.242,25.631,40.384,3.769,0.754,0.431,1.23,16.0,12.061,93.0,70.107,,,,,1410.0,16218.0,12.226,1.063,1286.0,0.969,0.042,24.0,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-04-02,858.0,79.0,45.714,11.0,6.0,1.429,646.796,59.553,34.461,8.292,4.523,1.077,1.22,16.0,12.061,97.0,73.123,,,,,2590.0,18808.0,14.178,1.952,1490.0,1.123,0.031,32.6,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-04-03,961.0,103.0,55.143,12.0,1.0,1.571,724.442,77.646,41.569,9.046,0.754,1.185,1.19,20.0,15.077,118.0,88.953,,,,,1623.0,20431.0,15.402,1.223,1539.0,1.16,0.036,27.9,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-04-04,1039.0,78.0,56.286,13.0,1.0,1.714,783.241,58.8,42.431,9.8,0.754,1.292,1.15,17.0,12.815,134.0,101.015,,,,,1417.0,21848.0,16.47,1.068,1589.0,1.198,0.035,28.2,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-04-05,1097.0,58.0,59.714,15.0,2.0,1.714,826.964,43.723,45.015,11.308,1.508,1.292,1.09,14.0,10.554,135.0,101.769,,,101.813,76.751,916.0,22764.0,17.16,0.691,1596.0,1.203,0.037,26.7,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-04-06,1108.0,11.0,56.143,19.0,4.0,2.286,835.256,8.292,42.323,14.323,3.015,1.723,1.04,12.0,9.046,132.0,99.507,,,,,1778.0,24542.0,18.501,1.34,1680.0,1.266,0.033,29.9,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-04-07,1149.0,41.0,57.714,21.0,2.0,2.429,866.164,30.907,43.507,15.831,1.508,1.831,1.01,11.0,8.292,140.0,105.538,,,,,1355.0,25897.0,19.522,1.021,1584.0,1.194,0.036,27.4,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-04-08,1185.0,36.0,58.0,24.0,3.0,2.714,893.302,27.138,43.723,18.092,2.262,2.046,0.97,9.0,6.785,130.0,97.999,,,,,1861.0,27758.0,20.925,1.403,1649.0,1.243,0.035,28.4,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-04-09,1207.0,22.0,49.857,24.0,0.0,1.857,909.887,16.585,37.584,18.092,0.0,1.4,0.94,9.0,6.785,136.0,102.522,,,,,1594.0,29352.0,22.127,1.202,1506.0,1.135,0.033,30.2,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-04-10,1258.0,51.0,42.429,24.0,0.0,1.714,948.332,38.446,31.984,18.092,0.0,1.292,0.92,11.0,8.292,143.0,107.799,,,,,1668.0,31020.0,23.384,1.257,1513.0,1.141,0.028,35.7,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-04-11,1304.0,46.0,37.857,24.0,0.0,1.571,983.009,34.677,28.538,18.092,0.0,1.185,0.9,11.0,8.292,150.0,113.076,,,,,941.0,31961.0,24.094,0.709,1445.0,1.089,0.026,38.2,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-04-12,1309.0,5.0,30.286,25.0,1.0,1.429,986.778,3.769,22.831,18.846,0.754,1.077,0.87,9.0,6.785,153.0,115.338,,,63.883,48.157,450.0,32411.0,24.433,0.339,1378.0,1.039,0.022,45.5,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-04-13,1332.0,23.0,32.0,28.0,3.0,1.286,1004.117,17.338,24.123,21.108,2.262,0.969,0.86,11.0,8.292,147.0,110.815,,,,,1699.0,34110.0,25.714,1.281,1367.0,1.031,0.023,42.7,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-04-14,1373.0,41.0,32.0,31.0,3.0,1.429,1035.024,30.907,24.123,23.369,2.262,1.077,0.85,10.0,7.538,144.0,108.553,,,,,1854.0,35964.0,27.111,1.398,1438.0,1.084,0.022,44.9,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-04-15,1400.0,27.0,30.714,35.0,4.0,1.571,1055.378,20.354,23.154,26.384,3.015,1.185,0.83,10.0,7.538,132.0,99.507,,,,,2269.0,38233.0,28.822,1.71,1496.0,1.128,0.021,48.7,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-04-16,1434.0,34.0,32.429,36.0,1.0,1.714,1081.009,25.631,24.446,27.138,0.754,1.292,0.82,11.0,8.292,125.0,94.23,,,,,1696.0,39929.0,30.1,1.279,1511.0,1.139,0.021,46.6,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
EST,Europe,Estonia,2020-04-17,1459.0,25.0,28.714,38.0,2.0,2.0,1099.855,18.846,21.646,28.646,1.508,1.508,0.8,11.0,8.292,118.0,88.953,,,,,2183.0,42112.0,31.746,1.646,1585.0,1.195,0.018,55.2,tests performed,,,,,,,,,,77.78,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
