iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
FLK,South America,Falkland Islands,2021-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,3483.0,,,,,,,,,,,,,81.44,
FLK,South America,Falkland Islands,2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,,54264.0,,3483.0,,,,,,,,,,,,,81.44,
FLK,South America,Falkland Islands,2021-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,,54264.0,,3483.0,,,,,,,,,,,,,81.44,
FLK,South America,Falkland Islands,2021-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,,54264.0,,3483.0,,,,,,,,,,,,,81.44,
FLK,South America,Falkland Islands,2021-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,,54264.0,,3483.0,,,,,,,,,,,,,81.44,
FLK,South America,Falkland Islands,2021-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,,54264.0,,3483.0,,,,,,,,,,,,,81.44,
FLK,South America,Falkland Islands,2021-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,,54264.0,,3483.0,,,,,,,,,,,,,81.44,
FLK,South America,Falkland Islands,2021-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,,54264.0,,3483.0,,,,,,,,,,,,,81.44,
FLK,South America,Falkland Islands,2021-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1515.0,1515.0,,,189.0,43.5,43.5,,54264.0,,3483.0,,,,,,,,,,,,,81.44,
FLK,South America,Falkland Islands,2021-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.0,,,,47947.0,,3483.0,,,,,,,,,,,,,81.44,
FLK,South America,Falkland Islands,2021-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,,,41344.0,,3483.0,,,,,,,,,,,,,81.44,
FLK,South America,Falkland Islands,2021-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,,,,35027.0,,3483.0,,,,,,,,,,,,,81.44,
FLK,South America,Falkland Islands,2021-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,28424.0,,3483.0,,,,,,,,,,,,,81.44,
FLK,South America,Falkland Islands,2021-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,21820.0,,3483.0,,,,,,,,,,,,,81.44,
FLK,South America,Falkland Islands,2021-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,15504.0,,3483.0,,,,,,,,,,,,,81.44,
FLK,South America,Falkland Islands,2021-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732.0,1732.0,,,31.0,49.73,49.73,,8900.0,,3483.0,,,,,,,,,,,,,81.44,
