iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
GHA,Africa,Ghana,2020-03-14,3.0,3.0,,,,,0.097,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-03-15,6.0,3.0,,,,,0.193,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-03-16,6.0,0.0,,,,,0.193,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-03-17,7.0,1.0,,,,,0.225,0.032,,,,,,,,,,,,,,,143.0,0.005,,,,,,samples tested,,,,,,,,,,50.0,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-03-18,7.0,0.0,,,,,0.225,0.0,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,50.0,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-03-19,11.0,4.0,1.571,,,0.0,0.354,0.129,0.051,,,0.0,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,50.0,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-03-20,16.0,5.0,2.286,,,0.0,0.515,0.161,0.074,,,0.0,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,50.0,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-03-21,19.0,3.0,2.286,1.0,1.0,0.143,0.611,0.097,0.074,0.032,0.032,0.005,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,50.0,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-03-22,23.0,4.0,2.429,1.0,0.0,0.143,0.74,0.129,0.078,0.032,0.0,0.005,,,,,,,,,,,315.0,0.01,,,,,,samples tested,,,,,,,,,,52.78,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-03-23,27.0,4.0,3.0,2.0,1.0,0.286,0.869,0.129,0.097,0.064,0.032,0.009,,,,,,,,,,206.0,521.0,0.017,0.007,,,,,samples tested,,,,,,,,,,52.78,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-03-24,53.0,26.0,6.571,2.0,0.0,0.286,1.706,0.837,0.211,0.064,0.0,0.009,,,,,,,,,,,,,,111.0,0.004,0.059,16.9,samples tested,,,,,,,,,,52.78,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-03-25,93.0,40.0,12.286,4.0,2.0,0.571,2.993,1.287,0.395,0.129,0.064,0.018,,,,,,,,,,,,,,163.0,0.005,0.075,13.3,samples tested,,,,,,,,,,52.78,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-03-26,132.0,39.0,17.286,4.0,0.0,0.571,4.248,1.255,0.556,0.129,0.0,0.018,,,,,,,,,,,,,,215.0,0.007,0.08,12.4,samples tested,,,,,,,,,,52.78,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-03-27,137.0,5.0,17.286,4.0,0.0,0.571,4.409,0.161,0.556,0.129,0.0,0.018,1.28,,,,,,,,,,,,,268.0,0.009,0.064,15.5,samples tested,,,,,,,,,,52.78,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-03-28,141.0,4.0,17.429,5.0,1.0,0.571,4.538,0.129,0.561,0.161,0.032,0.018,1.28,,,,,,,,,,2519.0,0.081,,320.0,0.01,0.054,18.4,samples tested,,,,,,,,,,52.78,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-03-29,152.0,11.0,18.429,5.0,0.0,0.571,4.892,0.354,0.593,0.161,0.0,0.018,1.29,,,,,,,,,,,,,459.0,0.015,0.04,24.9,samples tested,,,,,,,,,,52.78,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-03-30,152.0,0.0,17.857,5.0,0.0,0.429,4.892,0.0,0.575,0.161,0.0,0.014,1.29,,,,,,,,,,,,,573.0,0.018,0.031,32.1,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-03-31,161.0,9.0,15.429,5.0,0.0,0.429,5.181,0.29,0.497,0.161,0.0,0.014,1.29,,,,,,,,,,,,,660.0,0.021,0.023,42.8,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-01,195.0,34.0,14.571,5.0,0.0,0.143,6.276,1.094,0.469,0.161,0.0,0.005,1.29,,,,,,,,,,,,,747.0,0.024,0.02,51.3,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-02,204.0,9.0,10.286,5.0,0.0,0.143,6.565,0.29,0.331,0.161,0.0,0.005,1.29,,,,,,,,,,,,,834.0,0.027,0.012,81.1,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-03,205.0,1.0,9.714,5.0,0.0,0.143,6.597,0.032,0.313,0.161,0.0,0.005,1.29,,,,,,,,,,,,,921.0,0.03,0.011,94.8,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-04,205.0,0.0,9.143,5.0,0.0,0.0,6.597,0.0,0.294,0.161,0.0,0.0,1.29,,,,,,,,,,,,,1008.0,0.032,0.009,110.2,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-05,214.0,9.0,8.857,5.0,0.0,0.0,6.887,0.29,0.285,0.161,0.0,0.0,1.29,,,,,,,,,,,,,1008.0,0.032,0.009,113.8,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-06,214.0,0.0,8.857,5.0,0.0,0.0,6.887,0.0,0.285,0.161,0.0,0.0,1.3,,,,,,,,,,,,,1008.0,0.032,0.009,113.8,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-07,287.0,73.0,18.0,5.0,0.0,0.0,9.236,2.349,0.579,0.161,0.0,0.0,1.3,,,,,,,,,,,,,1008.0,0.032,0.018,56.0,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-08,313.0,26.0,16.857,6.0,1.0,0.143,10.073,0.837,0.543,0.193,0.032,0.005,1.3,,,,,,,,,,,,,1008.0,0.032,0.017,59.8,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-09,378.0,65.0,24.857,6.0,0.0,0.143,12.165,2.092,0.8,0.193,0.0,0.005,1.3,,,,,,,,,,14611.0,0.47,,1008.0,0.032,0.025,40.6,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-10,378.0,0.0,24.714,6.0,0.0,0.143,12.165,0.0,0.795,0.193,0.0,0.005,1.3,,,,,,,,,12735.0,27346.0,0.88,0.41,2683.0,0.086,0.009,108.6,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-11,408.0,30.0,29.0,8.0,2.0,0.429,13.13,0.965,0.933,0.257,0.064,0.014,1.3,,,,,,,,,10608.0,37954.0,1.221,0.341,4054.0,0.13,0.007,139.8,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-12,566.0,158.0,50.286,8.0,0.0,0.429,18.215,5.085,1.618,0.257,0.0,0.014,1.3,,,,,,,,,,,,,4518.0,0.145,0.011,89.8,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-13,566.0,0.0,50.286,8.0,0.0,0.429,18.215,0.0,1.618,0.257,0.0,0.014,1.3,,,,,,,,,,,,,4982.0,0.16,0.01,99.1,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-14,636.0,70.0,49.857,8.0,0.0,0.429,20.468,2.253,1.605,0.257,0.0,0.014,1.3,,,,,,,,,,50719.0,1.632,,5446.0,0.175,0.009,109.2,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-15,636.0,0.0,46.143,8.0,0.0,0.286,20.468,0.0,1.485,0.257,0.0,0.009,1.3,,,,,,,,,6281.0,57000.0,1.834,0.202,6200.0,0.2,0.007,134.4,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-16,641.0,5.0,37.571,8.0,0.0,0.286,20.629,0.161,1.209,0.257,0.0,0.009,1.3,,,,,,,,,,,,,6242.0,0.201,0.006,166.1,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-17,641.0,0.0,37.571,8.0,0.0,0.286,20.629,0.0,1.209,0.257,0.0,0.009,1.3,,,,,,,,,,,,,4609.0,0.148,0.008,122.7,samples tested,,,,,,,,,,86.11,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-18,834.0,193.0,60.857,9.0,1.0,0.143,26.84,6.211,1.959,0.29,0.032,0.005,1.3,,,,,,,,,,60916.0,1.96,,3280.0,0.106,0.019,53.9,samples tested,,,,,,,,,,84.26,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-19,1042.0,208.0,68.0,9.0,0.0,0.143,33.534,6.694,2.188,0.29,0.0,0.005,1.3,,,,,,,,,7675.0,68591.0,2.207,0.247,3769.0,0.121,0.018,55.4,samples tested,,,,,,,,,,70.37,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-20,1042.0,0.0,68.0,9.0,0.0,0.143,33.534,0.0,2.188,0.29,0.0,0.005,1.3,,,,,,,,,,,,,4094.0,0.132,0.017,60.2,samples tested,,,,,,,,,,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-21,1042.0,0.0,58.0,9.0,0.0,0.143,33.534,0.0,1.867,0.29,0.0,0.005,1.29,,,,,,,,,,,,,4420.0,0.142,0.013,76.2,samples tested,,,,,,,,,,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-22,1154.0,112.0,74.0,9.0,0.0,0.143,37.138,3.604,2.381,0.29,0.0,0.005,1.29,,,,,,,,,,88188.0,2.838,,4455.0,0.143,0.017,60.2,samples tested,,,,,,,,,,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
GHA,Africa,Ghana,2020-04-23,1154.0,0.0,73.286,9.0,0.0,0.143,37.138,0.0,2.359,0.29,0.0,0.005,1.29,,,,,,,,,,,,,4861.0,0.156,0.015,66.3,samples tested,,,,,,,,,,62.04,31072945.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
