iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
GMB,Africa,Gambia,2020-03-17,1.0,1.0,,,,,0.414,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,2416664.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,
GMB,Africa,Gambia,2020-03-18,1.0,0.0,,,,,0.414,0.0,,,,,,,,,,,,,,3.0,3.0,0.001,0.001,,,,,samples tested,,,,,,,,,,45.37,2416664.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,
GMB,Africa,Gambia,2020-03-19,1.0,0.0,,,,,0.414,0.0,,,,,,,,,,,,,,3.0,6.0,0.002,0.001,,,,,samples tested,,,,,,,,,,45.37,2416664.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,
GMB,Africa,Gambia,2020-03-20,1.0,0.0,,,,,0.414,0.0,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,53.7,2416664.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,
GMB,Africa,Gambia,2020-03-21,1.0,0.0,,,,,0.414,0.0,,,,,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,53.7,2416664.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,
GMB,Africa,Gambia,2020-03-22,1.0,0.0,0.143,,,0.0,0.414,0.0,0.059,,,0.0,,,,,,,,,,2.0,8.0,0.003,0.001,,,,,samples tested,,,,,,,,,,53.7,2416664.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,
GMB,Africa,Gambia,2020-03-23,2.0,1.0,0.286,1.0,1.0,0.143,0.828,0.414,0.118,0.414,0.414,0.059,,,,,,,,,,,,,,,,,,samples tested,,,,,,,,,,56.48,2416664.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,
GMB,Africa,Gambia,2020-03-24,3.0,1.0,0.286,1.0,0.0,0.143,1.241,0.414,0.118,0.414,0.0,0.059,,,,,,,,,,15.0,23.0,0.01,0.006,,,,,samples tested,,,,,,,,,,56.48,2416664.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,
GMB,Africa,Gambia,2020-03-25,3.0,0.0,0.286,1.0,0.0,0.143,1.241,0.0,0.118,0.414,0.0,0.059,,,,,,,,,,,,,,3.0,0.001,0.095,10.5,samples tested,,,,,,,,,,56.48,2416664.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,
GMB,Africa,Gambia,2020-03-26,3.0,0.0,0.286,1.0,0.0,0.143,1.241,0.0,0.118,0.414,0.0,0.059,,,,,,,,,,5.0,28.0,0.012,0.002,3.0,0.001,0.095,10.5,samples tested,,,,,,,,,,56.48,2416664.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,
GMB,Africa,Gambia,2020-03-27,3.0,0.0,0.286,1.0,0.0,0.143,1.241,0.0,0.118,0.414,0.0,0.059,,,,,,,,,,4.0,32.0,0.013,0.002,4.0,0.002,0.072,14.0,samples tested,,,,,,,,,,78.7,2416664.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,
