iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
GNB,Africa,Guinea-Bissau,2020-03-25,2.0,2.0,,,,,0.992,0.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-03-26,2.0,0.0,,,,,0.992,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-03-27,2.0,0.0,,,,,0.992,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-03-28,2.0,0.0,,,,,0.992,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-03-29,2.0,0.0,,,,,0.992,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-03-30,8.0,6.0,1.143,,,,3.969,2.977,0.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-03-31,8.0,0.0,1.143,,,,3.969,0.0,0.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-01,9.0,1.0,1.0,,,,4.465,0.496,0.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-02,9.0,0.0,1.0,,,,4.465,0.0,0.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-03,15.0,6.0,1.857,,,,7.442,2.977,0.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-04,18.0,3.0,2.286,,,,8.931,1.488,1.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-05,18.0,0.0,2.286,,,,8.931,0.0,1.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-06,18.0,0.0,1.429,,,,8.931,0.0,0.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-07,33.0,15.0,3.571,,,,16.373,7.442,1.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-08,33.0,0.0,3.429,,,,16.373,0.0,1.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-09,36.0,3.0,3.857,,,,17.862,1.488,1.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-10,36.0,0.0,3.0,,,,17.862,0.0,1.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-11,38.0,2.0,2.857,,,,18.854,0.992,1.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-12,38.0,0.0,2.857,,,,18.854,0.0,1.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-13,38.0,0.0,2.857,,,,18.854,0.0,1.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-14,38.0,0.0,0.714,,,,18.854,0.0,0.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-15,43.0,5.0,1.429,,,,21.335,2.481,0.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-16,43.0,0.0,1.0,,,,21.335,0.0,0.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-17,43.0,0.0,1.0,,,,21.335,0.0,0.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-18,46.0,3.0,1.143,,,,22.823,1.488,0.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-19,50.0,4.0,1.714,,,,24.808,1.985,0.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-20,50.0,0.0,1.714,,,,24.808,0.0,0.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-21,50.0,0.0,1.714,,,,24.808,0.0,0.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-22,50.0,0.0,1.0,,,,24.808,0.0,0.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-23,50.0,0.0,1.0,,,,24.808,0.0,0.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-24,52.0,2.0,1.286,,,,25.8,0.992,0.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-25,52.0,0.0,0.857,,,,25.8,0.0,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-26,53.0,1.0,0.429,1.0,1.0,0.143,26.296,0.496,0.213,0.496,0.496,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-27,73.0,20.0,3.286,1.0,0.0,0.143,36.219,9.923,1.63,0.496,0.0,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-28,73.0,0.0,3.286,1.0,0.0,0.143,36.219,0.0,1.63,0.496,0.0,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-29,205.0,132.0,22.143,1.0,0.0,0.143,101.712,65.493,10.986,0.496,0.0,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-04-30,205.0,0.0,22.143,1.0,0.0,0.143,101.712,0.0,10.986,0.496,0.0,0.071,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-05-01,257.0,52.0,29.286,1.0,0.0,0.143,127.512,25.8,14.53,0.496,0.0,0.071,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-05-02,257.0,0.0,29.286,1.0,0.0,0.143,127.512,0.0,14.53,0.496,0.0,0.071,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-05-03,257.0,0.0,29.143,1.0,0.0,0.0,127.512,0.0,14.459,0.496,0.0,0.0,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-05-04,413.0,156.0,48.571,1.0,0.0,0.0,204.913,77.401,24.099,0.496,0.0,0.0,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-05-05,413.0,0.0,48.571,1.0,0.0,0.0,204.913,0.0,24.099,0.496,0.0,0.0,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-05-06,475.0,62.0,38.571,2.0,1.0,0.143,235.675,30.762,19.137,0.992,0.496,0.071,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-05-07,564.0,89.0,51.286,2.0,0.0,0.143,279.833,44.158,25.446,0.992,0.0,0.071,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-05-08,594.0,30.0,48.143,2.0,0.0,0.143,294.717,14.885,23.886,0.992,0.0,0.071,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-05-09,641.0,47.0,54.857,3.0,1.0,0.286,318.037,23.319,27.218,1.488,0.496,0.142,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-05-10,726.0,85.0,67.0,3.0,0.0,0.286,360.21,42.173,33.243,1.488,0.0,0.142,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-05-11,761.0,35.0,49.714,3.0,0.0,0.286,377.576,17.366,24.666,1.488,0.0,0.142,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-05-12,820.0,59.0,58.143,3.0,0.0,0.286,406.849,29.273,28.848,1.488,0.0,0.142,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-05-13,836.0,16.0,51.571,3.0,0.0,0.143,414.787,7.939,25.588,1.488,0.0,0.071,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-05-14,913.0,77.0,49.857,3.0,0.0,0.143,452.992,38.204,24.737,1.488,0.0,0.071,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GNB,Africa,Guinea-Bissau,2020-05-15,913.0,0.0,45.571,3.0,0.0,0.143,452.992,0.0,22.611,1.488,0.0,0.071,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
