iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
IRN,Asia,Iran,2020-02-19,2.0,2.0,,2.0,2.0,,0.024,0.024,,0.024,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,
IRN,Asia,Iran,2020-02-20,5.0,3.0,,2.0,0.0,,0.06,0.036,,0.024,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,
IRN,Asia,Iran,2020-02-21,18.0,13.0,,4.0,2.0,,0.214,0.155,,0.048,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,
IRN,Asia,Iran,2020-02-22,28.0,10.0,,5.0,1.0,,0.333,0.119,,0.06,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,
IRN,Asia,Iran,2020-02-23,43.0,15.0,,8.0,3.0,,0.512,0.179,,0.095,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,
IRN,Asia,Iran,2020-02-24,61.0,18.0,8.714,12.0,4.0,1.714,0.726,0.214,0.104,0.143,0.048,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,
IRN,Asia,Iran,2020-02-25,95.0,34.0,13.571,16.0,4.0,2.286,1.131,0.405,0.162,0.19,0.048,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,
IRN,Asia,Iran,2020-02-26,139.0,44.0,19.571,19.0,3.0,2.429,1.655,0.524,0.233,0.226,0.036,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,
IRN,Asia,Iran,2020-02-27,245.0,106.0,34.286,26.0,7.0,3.429,2.917,1.262,0.408,0.31,0.083,0.041,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,
IRN,Asia,Iran,2020-02-28,388.0,143.0,52.857,34.0,8.0,4.286,4.619,1.703,0.629,0.405,0.095,0.051,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,
