iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ISL,Europe,Iceland,2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-02-27,,,,,,,,,,,,,,,,,,,,,,23.0,23.0,0.067,0.067,,,,,tests performed,,,,,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-02-28,1.0,1.0,,,,,2.93,2.93,,,,,,0.0,0.0,1.0,2.93,,,,,13.0,36.0,0.105,0.038,,,,,tests performed,,,,,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-02-29,1.0,0.0,,,,,2.93,0.0,,,,,,0.0,0.0,1.0,2.93,,,,,32.0,68.0,0.199,0.094,,,,,tests performed,,,,,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-01,3.0,2.0,,,,,8.791,5.861,,,,,,0.0,0.0,1.0,2.93,,,0.937,2.746,22.0,90.0,0.264,0.064,,,,,tests performed,,,,,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-02,6.0,3.0,,,,,17.582,8.791,,,,,,0.0,0.0,0.0,0.0,,,,,48.0,138.0,0.404,0.141,,,,,tests performed,,,,,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-03,11.0,5.0,,,,,32.234,14.652,,,,,,0.0,0.0,0.0,0.0,,,,,45.0,183.0,0.536,0.132,,,,,tests performed,,,,,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-04,26.0,15.0,3.714,,,0.0,76.19,43.956,10.884,,,0.0,,0.0,0.0,0.0,0.0,,,,,81.0,264.0,0.774,0.237,,,,,tests performed,,,,,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-05,34.0,8.0,4.857,,,0.0,99.634,23.443,14.233,,,0.0,,0.0,0.0,1.0,2.93,,,,,62.0,326.0,0.955,0.182,43.0,0.126,0.113,8.9,tests performed,,,,,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-06,43.0,9.0,6.0,,,0.0,126.007,26.374,17.582,,,0.0,,0.0,0.0,1.0,2.93,,,,,57.0,383.0,1.122,0.167,50.0,0.147,0.12,8.3,tests performed,,,,,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-07,50.0,7.0,7.0,,,0.0,146.52,20.513,20.513,,,0.0,,0.0,0.0,1.0,2.93,,,,,58.0,441.0,1.292,0.17,53.0,0.155,0.132,7.6,tests performed,,,,,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-08,50.0,0.0,6.714,,,0.0,146.52,0.0,19.676,,,0.0,,0.0,0.0,1.0,2.93,,,,,37.0,478.0,1.401,0.108,55.0,0.161,0.122,8.2,tests performed,,,,,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-09,58.0,8.0,7.429,,,0.0,169.963,23.443,21.769,,,0.0,,0.0,0.0,1.0,2.93,,,,,98.0,576.0,1.688,0.287,63.0,0.185,0.118,8.5,tests performed,,,,,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-10,69.0,11.0,8.286,,,0.0,202.198,32.234,24.28,,,0.0,,0.0,0.0,0.0,0.0,,,,,169.0,745.0,2.183,0.495,80.0,0.234,0.104,9.7,tests performed,,,,,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-11,85.0,16.0,8.429,,,0.0,249.084,46.886,24.699,,,0.0,,0.0,0.0,1.0,2.93,,,,,149.0,894.0,2.62,0.437,90.0,0.264,0.094,10.7,tests performed,,,,,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-12,103.0,18.0,9.857,,,0.0,301.832,52.747,28.885,,,0.0,,0.0,0.0,2.0,5.861,,,,,253.0,1147.0,3.361,0.741,117.0,0.343,0.084,11.9,tests performed,,,,,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-13,134.0,31.0,13.0,,,0.0,392.674,90.842,38.095,,,0.0,1.57,0.0,0.0,2.0,5.861,,,,,357.0,1504.0,4.407,1.046,160.0,0.469,0.081,12.3,tests performed,,,,,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-14,156.0,22.0,15.143,,,0.0,457.143,64.469,44.375,,,0.0,1.56,1.0,2.93,3.0,8.791,,,,,323.0,1827.0,5.354,0.947,198.0,0.58,0.076,13.1,tests performed,,,,,,,,,,16.67,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-15,171.0,15.0,17.286,,,0.0,501.099,43.956,50.654,,,0.0,1.56,2.0,5.861,3.0,8.791,,,,,1075.0,2902.0,8.504,3.15,346.0,1.014,0.05,20.0,tests performed,,,,,,,,,,25.0,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-16,180.0,9.0,17.429,,,0.0,527.473,26.374,51.073,,,0.0,1.56,2.0,5.861,4.0,11.722,,,,,1707.0,4609.0,13.506,5.002,576.0,1.688,0.03,33.0,tests performed,,,,,,,,,,50.93,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-17,220.0,40.0,21.571,,,0.0,644.689,117.216,63.213,,,0.0,1.59,2.0,5.861,5.0,14.652,,,,,1400.0,6009.0,17.609,4.103,752.0,2.204,0.029,34.9,tests performed,,,,,,,,,,50.93,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-18,250.0,30.0,23.571,,,0.0,732.601,87.912,69.074,,,0.0,1.6,0.0,0.0,6.0,17.582,,,,,1828.0,7837.0,22.966,5.357,992.0,2.907,0.024,42.1,tests performed,,,,,,,,,,50.93,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-19,330.0,80.0,32.429,,,0.0,967.033,234.432,95.029,,,0.0,1.61,1.0,2.93,6.0,17.582,,,,,1311.0,9148.0,26.807,3.842,1143.0,3.349,0.028,35.2,tests performed,,,,,,,,,,50.93,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-20,409.0,79.0,39.286,,,0.0,1198.535,231.502,115.123,,,0.0,1.59,1.0,2.93,10.0,29.304,,,,,579.0,9727.0,28.504,1.697,1175.0,3.443,0.033,29.9,tests performed,,,,,,,,,,53.7,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-21,473.0,64.0,45.286,1.0,1.0,0.143,1386.081,187.546,132.705,2.93,2.93,0.419,1.55,1.0,2.93,12.0,35.165,,,,,350.0,10077.0,29.53,1.026,1179.0,3.455,0.038,26.0,tests performed,,,,,,,,,,53.7,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-22,568.0,95.0,56.714,1.0,0.0,0.143,1664.469,278.388,166.196,2.93,0.0,0.419,1.51,0.0,0.0,13.0,38.095,,,,,183.0,10260.0,30.066,0.536,1051.0,3.08,0.054,18.5,tests performed,,,,,,,,,,53.7,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-23,588.0,20.0,58.286,1.0,0.0,0.143,1723.077,58.608,170.801,2.93,0.0,0.419,1.45,2.0,5.861,13.0,38.095,,,,,459.0,10719.0,31.411,1.345,873.0,2.558,0.067,15.0,tests performed,,,,,,,,,,53.7,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
ISL,Europe,Iceland,2020-03-24,648.0,60.0,61.143,2.0,1.0,0.286,1898.901,175.824,179.173,5.861,2.93,0.837,1.41,2.0,5.861,17.0,49.817,,,,,967.0,11686.0,34.245,2.834,811.0,2.377,0.075,13.3,tests performed,,,,,,,,,,53.7,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
