iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ISR,Asia,Israel,2020-02-20,,,,,,,,,,,,,,,,,,,,,,29.0,29.0,0.003,0.003,,,,,tests performed,,,,,,,,,,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-02-21,1.0,1.0,,,,,0.116,0.116,,,,,,,,,,,,,,28.0,57.0,0.007,0.003,,,,,tests performed,,,,,,,,,,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-02-22,1.0,0.0,,,,,0.116,0.0,,,,,,,,,,,,,,13.0,70.0,0.008,0.002,,,,,tests performed,,,,,,,,,,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-02-23,1.0,0.0,,,,,0.116,0.0,,,,,,,,,,,,,,56.0,126.0,0.015,0.006,,,,,tests performed,,,,,,,,,,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-02-24,1.0,0.0,,,,,0.116,0.0,,,,,,,,,,,,,,75.0,201.0,0.023,0.009,,,,,tests performed,,,,,,,,,,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-02-25,1.0,0.0,,,,,0.116,0.0,,,,,,,,,,,,,,108.0,309.0,0.036,0.012,,,,,tests performed,,,,,,,,,,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-02-26,2.0,1.0,0.286,,,0.0,0.231,0.116,0.033,,,0.0,,,,,,,,,,108.0,417.0,0.048,0.012,,,,,tests performed,,,,,,,,,,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-02-27,3.0,1.0,0.429,,,0.0,0.347,0.116,0.05,,,0.0,,,,,,,,,,171.0,588.0,0.068,0.02,80.0,0.009,0.005,186.5,tests performed,,,,,,,,,,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-02-28,6.0,3.0,0.714,,,0.0,0.693,0.347,0.083,,,0.0,,,,,,,,,,118.0,706.0,0.082,0.014,93.0,0.011,0.008,130.3,tests performed,,,,,,,,,,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-02-29,6.0,0.0,0.714,,,0.0,0.693,0.0,0.083,,,0.0,,,,,,,,,,158.0,864.0,0.1,0.018,113.0,0.013,0.006,158.3,tests performed,,,,,,,,,,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-03-01,7.0,1.0,0.857,,,0.0,0.809,0.116,0.099,,,0.0,,,,,,,,,,187.0,1051.0,0.121,0.022,132.0,0.015,0.006,154.0,tests performed,,,,,,,,,,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-03-02,12.0,5.0,1.571,,,0.0,1.386,0.578,0.182,,,0.0,,,,10.0,1.155,,,,,171.0,1222.0,0.141,0.02,146.0,0.017,0.011,92.9,tests performed,,,,,,,,,,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-03-03,15.0,3.0,2.0,,,0.0,1.733,0.347,0.231,,,0.0,,,,10.0,1.155,,,,,235.0,1457.0,0.168,0.027,164.0,0.019,0.012,82.0,tests performed,,,,,,,,,,19.44,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-03-04,15.0,0.0,1.857,,,0.0,1.733,0.0,0.215,,,0.0,,,,12.0,1.386,,,,,129.0,1586.0,0.183,0.015,167.0,0.019,0.011,89.9,tests performed,,,,,,,,,,33.33,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-03-05,21.0,6.0,2.571,,,0.0,2.426,0.693,0.297,,,0.0,,,,13.0,1.502,,,,,173.0,1759.0,0.203,0.02,167.0,0.019,0.015,65.0,tests performed,,,,,,,,,,33.33,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-03-06,37.0,16.0,4.429,,,0.0,4.275,1.849,0.512,,,0.0,,,,16.0,1.849,,,,,274.0,2033.0,0.235,0.032,190.0,0.022,0.023,42.9,tests performed,,,,,,,,,,33.33,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-03-07,47.0,10.0,5.857,,,0.0,5.43,1.155,0.677,,,0.0,,,,20.0,2.311,,,,,336.0,2369.0,0.274,0.039,215.0,0.025,0.027,36.7,tests performed,,,,,,,,,,33.33,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-03-08,56.0,9.0,7.0,,,0.0,6.47,1.04,0.809,,,0.0,,,,27.0,3.119,5.0,0.578,22.0,2.542,421.0,2790.0,0.322,0.049,248.0,0.029,0.028,35.4,tests performed,,,,,,,,,,33.33,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-03-09,60.0,4.0,6.857,,,0.0,6.932,0.462,0.792,,,0.0,,,,41.0,4.737,,,,,518.0,3308.0,0.382,0.06,298.0,0.034,0.023,43.5,tests performed,,,,,,,,,,33.33,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
ISR,Asia,Israel,2020-03-10,88.0,28.0,10.429,,,0.0,10.167,3.235,1.205,,,0.0,,,,61.0,7.048,,,,,520.0,3828.0,0.442,0.06,339.0,0.039,0.031,32.5,tests performed,,,,,,,,,,33.33,8655541.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
