iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
JEY,Europe,Jersey,2021-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11385.0,8334.0,3051.0,,,11.26,8.25,3.02,,,101073.0,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.0,,,,4878.0,,101073.0,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.0,,,,4878.0,,101073.0,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.0,,,,4878.0,,101073.0,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.0,,,,4878.0,,101073.0,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.0,,,,4878.0,,101073.0,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.0,,,,4878.0,,101073.0,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14838.0,11707.0,3131.0,,493.0,14.68,11.58,3.1,4878.0,,101073.0,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.0,,,,5432.0,,101073.0,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.0,,,,5976.0,,101073.0,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.0,,,,6530.0,,101073.0,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715.0,,,,7074.0,,101073.0,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.0,,,,7618.0,,101073.0,,,,,,,,,,,,,,
JEY,Europe,Jersey,2021-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.0,,,,8172.0,,101073.0,,,,,,,,,,,,,,
