iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
KAZ,Asia,Kazakhstan,2020-03-13,4.0,4.0,,,,,0.213,0.213,,,,,,,,,,,,,,,126.0,0.007,,,,,,tests performed,,,,,,,,,,22.22,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
KAZ,Asia,Kazakhstan,2020-03-14,6.0,2.0,,,,,0.32,0.107,,,,,,,,,,,,,,319.0,445.0,0.024,0.017,,,,,tests performed,,,,,,,,,,22.22,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
KAZ,Asia,Kazakhstan,2020-03-15,9.0,3.0,,,,,0.479,0.16,,,,,,,,,,,,,,207.0,652.0,0.035,0.011,,,,,tests performed,,,,,,,,,,22.22,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
KAZ,Asia,Kazakhstan,2020-03-16,10.0,1.0,,,,,0.533,0.053,,,,,,,,,,,,,,386.0,1038.0,0.055,0.021,,,,,tests performed,,,,,,,,,,47.22,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
KAZ,Asia,Kazakhstan,2020-03-17,33.0,23.0,,,,,1.757,1.225,,,,,,,,,,,,,,932.0,1970.0,0.105,0.05,,,,,tests performed,,,,,,,,,,47.22,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
KAZ,Asia,Kazakhstan,2020-03-18,35.0,2.0,5.0,,,0.0,1.864,0.107,0.266,,,0.0,,,,,,,,,,264.0,2234.0,0.119,0.014,,,,,tests performed,,,,,,,,,,55.56,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
KAZ,Asia,Kazakhstan,2020-03-19,44.0,9.0,6.286,,,0.0,2.343,0.479,0.335,,,0.0,,,,,,,,,,1050.0,3284.0,0.175,0.056,,,,,tests performed,,,,,,,,,,80.09,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
KAZ,Asia,Kazakhstan,2020-03-20,49.0,5.0,6.429,,,0.0,2.61,0.266,0.342,,,0.0,,,,,,,,,,816.0,4100.0,0.218,0.043,568.0,0.03,0.011,88.3,tests performed,,,,,,,,,,80.09,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
KAZ,Asia,Kazakhstan,2020-03-21,53.0,4.0,6.714,,,0.0,2.823,0.213,0.358,,,0.0,,,,,,,,,,1175.0,5275.0,0.281,0.063,690.0,0.037,0.01,102.8,tests performed,,,,,,,,,,80.09,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
KAZ,Asia,Kazakhstan,2020-03-22,61.0,8.0,7.429,,,0.0,3.249,0.426,0.396,,,0.0,,,,,,,,,,1233.0,6508.0,0.347,0.066,837.0,0.045,0.009,112.7,tests performed,,,,,,,,,,80.09,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
KAZ,Asia,Kazakhstan,2020-03-23,62.0,1.0,7.429,,,0.0,3.302,0.053,0.396,,,0.0,,,,,,,,,,1754.0,8262.0,0.44,0.093,1032.0,0.055,0.007,138.9,tests performed,,,,,,,,,,80.09,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
KAZ,Asia,Kazakhstan,2020-03-24,72.0,10.0,5.571,,,0.0,3.835,0.533,0.297,,,0.0,,,,,,,,,,1622.0,9884.0,0.526,0.086,1131.0,0.06,0.005,203.0,tests performed,,,,,,,,,,80.09,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
KAZ,Asia,Kazakhstan,2020-03-25,81.0,9.0,6.571,,,0.0,4.314,0.479,0.35,,,0.0,,,,,,,,,,1465.0,11349.0,0.604,0.078,1302.0,0.069,0.005,198.1,tests performed,,,,,,,,,,80.09,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
KAZ,Asia,Kazakhstan,2020-03-26,111.0,30.0,9.571,,,0.0,5.912,1.598,0.51,,,0.0,,,,,,,,,,2111.0,13460.0,0.717,0.112,1454.0,0.077,0.007,151.9,tests performed,,,,,,,,,,80.09,18776707.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,
