iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
LIE,Europe,Liechtenstein,2020-03-04,1.0,1.0,,,,,26.141,26.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-05,1.0,0.0,,,,,26.141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-06,1.0,0.0,,,,,26.141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-07,1.0,0.0,,,,,26.141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-08,1.0,0.0,,,,,26.141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-09,1.0,0.0,0.143,,,,26.141,0.0,3.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-10,1.0,0.0,0.143,,,,26.141,0.0,3.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-11,3.0,2.0,0.286,,,,78.423,52.282,7.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-12,4.0,1.0,0.429,,,,104.564,26.141,11.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-13,5.0,1.0,0.571,,,,130.705,26.141,14.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.89,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-14,7.0,2.0,0.857,,,,182.987,52.282,22.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.89,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-15,11.0,4.0,1.429,,,,287.552,104.564,37.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.89,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-16,14.0,3.0,1.857,,,,365.975,78.423,48.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.59,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-17,19.0,5.0,2.571,,,,496.68,130.705,67.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.81,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-18,25.0,6.0,3.143,,,,653.526,156.846,82.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.81,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-19,34.0,9.0,4.286,,,,888.796,235.27,112.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.81,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-20,36.0,2.0,4.429,,,,941.078,52.282,115.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.81,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-21,44.0,8.0,5.286,,,,1150.207,209.128,138.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.81,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-22,46.0,2.0,5.0,,,,1202.489,52.282,130.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.81,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LIE,Europe,Liechtenstein,2020-03-23,48.0,2.0,4.857,,,,1254.771,52.282,126.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.81,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
