iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
MCO,Europe,Monaco,2020-02-29,1.0,1.0,,,,,25.482,25.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.52,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,-21.74
MCO,Europe,Monaco,2020-03-01,1.0,0.0,,,,,25.482,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.52,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-02,1.0,0.0,,,,,25.482,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.52,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-03,1.0,0.0,,,,,25.482,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-04,1.0,0.0,,,,,25.482,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-05,1.0,0.0,0.143,,,0.0,25.482,0.0,3.64,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-06,1.0,0.0,0.143,,,0.0,25.482,0.0,3.64,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-07,1.0,0.0,0.0,,,0.0,25.482,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-08,1.0,0.0,0.0,,,0.0,25.482,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-09,1.0,0.0,0.0,,,0.0,25.482,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-10,1.0,0.0,0.0,,,0.0,25.482,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-11,1.0,0.0,0.0,,,0.0,25.482,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-12,2.0,1.0,0.143,,,0.0,50.963,25.482,3.64,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-13,2.0,0.0,0.143,,,0.0,50.963,0.0,3.64,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-14,2.0,0.0,0.143,,,0.0,50.963,0.0,3.64,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-15,2.0,0.0,0.143,,,0.0,50.963,0.0,3.64,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-16,7.0,5.0,0.857,,,0.0,178.371,127.408,21.841,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.19,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-17,7.0,0.0,0.857,,,0.0,178.371,0.0,21.841,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-18,7.0,0.0,0.857,,,0.0,178.371,0.0,21.841,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-19,7.0,0.0,0.714,,,0.0,178.371,0.0,18.201,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-20,11.0,4.0,1.286,,,0.0,280.298,101.926,32.762,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-21,11.0,0.0,1.286,,,0.0,280.298,0.0,32.762,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-22,23.0,12.0,3.0,,,0.0,586.077,305.779,76.445,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-23,23.0,0.0,2.286,,,0.0,586.077,0.0,58.244,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-24,23.0,0.0,2.286,,,0.0,586.077,0.0,58.244,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-25,31.0,8.0,3.429,,,0.0,789.93,203.853,87.365,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-26,33.0,2.0,3.714,,,0.0,840.893,50.963,94.646,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-27,42.0,9.0,4.429,,,0.0,1070.227,229.334,112.847,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-28,42.0,0.0,4.429,,,0.0,1070.227,0.0,112.847,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-29,46.0,4.0,3.286,1.0,1.0,0.143,1172.154,101.926,83.725,25.482,25.482,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-30,49.0,3.0,3.714,1.0,0.0,0.143,1248.599,76.445,94.646,25.482,0.0,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
MCO,Europe,Monaco,2020-03-31,52.0,3.0,4.143,1.0,0.0,0.143,1325.043,76.445,105.567,25.482,0.0,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,18.83
MCO,Europe,Monaco,2020-04-01,55.0,3.0,3.429,1.0,0.0,0.143,1401.488,76.445,87.365,25.482,0.0,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,39244.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,
