iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
MDG,Africa,Madagascar,2020-03-20,3.0,3.0,,,,,0.108,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-03-21,3.0,0.0,,,,,0.108,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-03-22,3.0,0.0,,,,,0.108,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-03-23,12.0,9.0,,,,,0.433,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-03-24,17.0,5.0,,,,,0.614,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-03-25,19.0,2.0,2.714,,,0.0,0.686,0.072,0.098,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-03-26,23.0,4.0,3.286,,,0.0,0.831,0.144,0.119,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-03-27,26.0,3.0,3.286,,,0.0,0.939,0.108,0.119,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-03-28,26.0,0.0,3.286,,,0.0,0.939,0.0,0.119,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-03-29,39.0,13.0,5.143,,,0.0,1.408,0.469,0.186,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-03-30,43.0,4.0,4.429,,,0.0,1.553,0.144,0.16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-03-31,57.0,14.0,5.714,,,0.0,2.058,0.506,0.206,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-04-01,57.0,0.0,5.429,,,0.0,2.058,0.0,0.196,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-04-02,59.0,2.0,5.143,,,0.0,2.131,0.072,0.186,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-04-03,70.0,11.0,6.286,,,0.0,2.528,0.397,0.227,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-04-04,70.0,0.0,6.286,,,0.0,2.528,0.0,0.227,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-04-05,72.0,2.0,4.714,,,0.0,2.6,0.072,0.17,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.37,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-04-06,82.0,10.0,5.571,,,0.0,2.961,0.361,0.201,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.37,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-04-07,88.0,6.0,4.429,,,0.0,3.178,0.217,0.16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.37,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-04-08,93.0,5.0,5.143,,,0.0,3.358,0.181,0.186,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.37,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-04-09,93.0,0.0,4.857,,,0.0,3.358,0.0,0.175,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.37,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-04-10,93.0,0.0,3.286,,,0.0,3.358,0.0,0.119,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.37,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-04-11,102.0,9.0,4.571,,,0.0,3.684,0.325,0.165,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.37,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-04-12,106.0,4.0,4.857,,,0.0,3.828,0.144,0.175,,,0.0,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,95.37,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
MDG,Africa,Madagascar,2020-04-13,106.0,0.0,3.429,,,0.0,3.828,0.0,0.124,,,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,95.37,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
