iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
MKD,Europe,North Macedonia,2020-02-26,1.0,1.0,,,,,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-02-27,1.0,0.0,,,,,0.48,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-02-28,1.0,0.0,,,,,0.48,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-02-29,1.0,0.0,,,,,0.48,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,-6.58
MKD,Europe,North Macedonia,2020-03-01,1.0,0.0,,,,,0.48,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-02,1.0,0.0,0.143,,,0.0,0.48,0.0,0.069,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-03,1.0,0.0,0.143,,,0.0,0.48,0.0,0.069,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-04,1.0,0.0,0.0,,,0.0,0.48,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-05,1.0,0.0,0.0,,,0.0,0.48,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-06,3.0,2.0,0.286,,,0.0,1.44,0.96,0.137,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-07,3.0,0.0,0.286,,,0.0,1.44,0.0,0.137,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-08,3.0,0.0,0.286,,,0.0,1.44,0.0,0.137,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-09,3.0,0.0,0.286,,,0.0,1.44,0.0,0.137,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-10,7.0,4.0,0.857,,,0.0,3.36,1.92,0.411,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-11,7.0,0.0,0.857,,,0.0,3.36,0.0,0.411,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-12,7.0,0.0,0.857,,,0.0,3.36,0.0,0.411,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-13,14.0,7.0,1.571,,,0.0,6.72,3.36,0.754,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-14,14.0,0.0,1.571,,,0.0,6.72,0.0,0.754,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-15,14.0,0.0,1.571,,,0.0,6.72,0.0,0.754,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-16,18.0,4.0,2.143,,,0.0,8.64,1.92,1.029,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-17,26.0,8.0,2.714,,,0.0,12.48,3.84,1.303,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-18,35.0,9.0,4.0,,,0.0,16.8,4.32,1.92,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-19,48.0,13.0,5.857,,,0.0,23.039,6.24,2.811,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-20,67.0,19.0,7.571,,,0.0,32.159,9.12,3.634,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-21,85.0,18.0,10.143,,,0.0,40.799,8.64,4.868,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-22,115.0,30.0,14.429,1.0,1.0,0.143,55.199,14.4,6.926,0.48,0.48,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-23,136.0,21.0,16.857,2.0,1.0,0.286,65.279,10.08,8.091,0.96,0.48,0.137,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-24,148.0,12.0,17.429,2.0,0.0,0.286,71.038,5.76,8.366,0.96,0.0,0.137,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-25,177.0,29.0,20.286,3.0,1.0,0.429,84.958,13.92,9.737,1.44,0.48,0.206,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-26,201.0,24.0,21.857,3.0,0.0,0.429,96.478,11.52,10.491,1.44,0.0,0.206,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
MKD,Europe,North Macedonia,2020-03-27,219.0,18.0,21.714,3.0,0.0,0.429,105.118,8.64,10.423,1.44,0.0,0.206,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083380.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,
