iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
NIU,Oceania,Niue,2021-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,1614.0,,,,,,,,,,,,,73.71,,,,,
NIU,Oceania,Niue,2021-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,53903.0,87.0,5.39,,1614.0,,,,,,,,,,,,,73.71,,,,,
NIU,Oceania,Niue,2021-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,53903.0,87.0,5.39,,1614.0,,,,,,,,,,,,,73.71,,,,,
NIU,Oceania,Niue,2021-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,53903.0,87.0,5.39,,1614.0,,,,,,,,,,,,,73.71,,,,,
NIU,Oceania,Niue,2021-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,53903.0,87.0,5.39,,1614.0,,,,,,,,,,,,,73.71,,,,,
NIU,Oceania,Niue,2021-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,53903.0,87.0,5.39,,1614.0,,,,,,,,,,,,,73.71,,,,,
NIU,Oceania,Niue,2021-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,53903.0,87.0,5.39,,1614.0,,,,,,,,,,,,,73.71,,,,,
NIU,Oceania,Niue,2021-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,53903.0,87.0,5.39,,1614.0,,,,,,,,,,,,,73.71,,,,,
NIU,Oceania,Niue,2021-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.0,698.0,,,,87.0,43.25,43.25,,,53903.0,87.0,5.39,,1614.0,,,,,,,,,,,,,73.71,,,,,
NIU,Oceania,Niue,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,52664.0,85.0,5.266,,1614.0,,,,,,,,,,,,,73.71,,,,,
NIU,Oceania,Niue,2021-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,,51425.0,82.0,5.081,,1614.0,,,,,,,,,,,,,73.71,,,,,
NIU,Oceania,Niue,2021-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,50805.0,80.0,4.957,,1614.0,,,,,,,,,,,,,73.71,,,,,
