iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
NRU,Oceania,Nauru,2021-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,,,,10834.0,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,
NRU,Oceania,Nauru,2021-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,168.0,,168.0,168.0,1.55,1.55,,15507.0,,10834.0,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,
NRU,Oceania,Nauru,2021-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,,,,9969.0,,10834.0,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,
NRU,Oceania,Nauru,2021-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,8123.0,,10834.0,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,
NRU,Oceania,Nauru,2021-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,7200.0,,10834.0,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,
NRU,Oceania,Nauru,2021-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,6646.0,,10834.0,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,
NRU,Oceania,Nauru,2021-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,6277.0,,10834.0,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,
NRU,Oceania,Nauru,2021-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,6000.0,,10834.0,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,
NRU,Oceania,Nauru,2021-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,4430.0,,10834.0,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,
NRU,Oceania,Nauru,2021-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,4430.0,,10834.0,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,
