iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
OWID_HIC,,High income,2020-01-22,6.0,0.0,,,0.0,,0.005,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214930230.0,,,,,,,,,,,,,,,,,,
OWID_HIC,,High income,2020-01-23,10.0,4.0,,,0.0,,0.008,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214930230.0,,,,,,,,,,,,,,,,,,
OWID_HIC,,High income,2020-01-24,18.0,8.0,,,0.0,,0.015,0.007,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214930230.0,,,,,,,,,,,,,,,,,,
OWID_HIC,,High income,2020-01-25,22.0,4.0,,,0.0,,0.018,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214930230.0,,,,,,,,,,,,,,,,,,
OWID_HIC,,High income,2020-01-26,41.0,19.0,,,0.0,,0.034,0.016,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214930230.0,,,,,,,,,,,,,,,,,,
OWID_HIC,,High income,2020-01-27,47.0,6.0,,,0.0,,0.039,0.005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214930230.0,,,,,,,,,,,,,,,,,,
OWID_HIC,,High income,2020-01-28,61.0,14.0,7.857,,0.0,0.0,0.05,0.012,0.006,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214930230.0,,,,,,,,,,,,,,,,,,
OWID_HIC,,High income,2020-01-29,71.0,10.0,9.286,,0.0,0.0,0.058,0.008,0.008,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214930230.0,,,,,,,,,,,,,,,,,,
OWID_HIC,,High income,2020-01-30,82.0,11.0,10.286,,0.0,0.0,0.067,0.009,0.008,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214930230.0,,,,,,,,,,,,,,,,,,
OWID_HIC,,High income,2020-01-31,108.0,26.0,12.857,,0.0,0.0,0.089,0.021,0.011,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214930230.0,,,,,,,,,,,,,,,,,,
