iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
OWID_UMC,,Upper middle income,2020-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1528500.0,28500.0,,,,0.06,0.0,,,,2654816331.0,,,,,,,,,,,,,,
OWID_UMC,,Upper middle income,2020-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3357.0,,,,1.0,,2654816331.0,,,,,,,,,,,,,,
OWID_UMC,,Upper middle income,2020-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3357.0,,,,1.0,,2654816331.0,,,,,,,,,,,,,,
OWID_UMC,,Upper middle income,2020-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3357.0,,,,1.0,,2654816331.0,,,,,,,,,,,,,,
OWID_UMC,,Upper middle income,2020-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3357.0,,,,1.0,,2654816331.0,,,,,,,,,,,,,,
OWID_UMC,,Upper middle income,2020-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3357.0,,,,1.0,,2654816331.0,,,,,,,,,,,,,,
OWID_UMC,,Upper middle income,2020-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3357.0,,,,1.0,,2654816331.0,,,,,,,,,,,,,,
OWID_UMC,,Upper middle income,2020-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1552000.0,52000.0,,,3357.0,0.06,0.0,,1.0,,2654816331.0,,,,,,,,,,,,,,
OWID_UMC,,Upper middle income,2020-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3090.0,,,,1.0,,2654816331.0,,,,,,,,,,,,,,
OWID_UMC,,Upper middle income,2020-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554979.0,54979.0,,,2824.0,0.06,0.0,,1.0,,2654816331.0,,,,,,,,,,,,,,
