iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
PAN,North America,Panama,2020-03-09,,,,,,,,,,,,,,,,,,,,,,,107.0,0.025,,,,,,tests performed,,,,,,,,,,8.33,4314768.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,
PAN,North America,Panama,2020-03-10,1.0,1.0,,,,,0.232,0.232,,,,,,,,,,,,,,31.0,138.0,0.032,0.007,,,,,tests performed,,,,,,,,,,8.33,4314768.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,
PAN,North America,Panama,2020-03-11,8.0,7.0,,1.0,1.0,,1.854,1.622,,0.232,0.232,,,,,,,,,,,42.0,180.0,0.042,0.01,,,,,tests performed,,,,,,,,,,8.33,4314768.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,
PAN,North America,Panama,2020-03-12,11.0,3.0,,1.0,0.0,,2.549,0.695,,0.232,0.0,,,,,,,,,,,194.0,374.0,0.087,0.045,,,,,tests performed,,,,,,,,,,19.44,4314768.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,
PAN,North America,Panama,2020-03-13,27.0,16.0,,1.0,0.0,,6.258,3.708,,0.232,0.0,,,,,,,,,,,239.0,613.0,0.142,0.055,,,,,tests performed,,,,,,,,,,44.44,4314768.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,
PAN,North America,Panama,2020-03-14,36.0,9.0,,1.0,0.0,,8.343,2.086,,0.232,0.0,,,,,,,,,,,201.0,814.0,0.189,0.047,,,,,tests performed,,,,,,,,,,44.44,4314768.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,
PAN,North America,Panama,2020-03-15,43.0,7.0,6.143,1.0,0.0,0.143,9.966,1.622,1.424,0.232,0.0,0.033,,,,,,,,,,107.0,921.0,0.213,0.025,,,,,tests performed,,,,,,,,,,44.44,4314768.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,
PAN,North America,Panama,2020-03-16,55.0,12.0,7.857,1.0,0.0,0.143,12.747,2.781,1.821,0.232,0.0,0.033,,,,,,,,,,83.0,1004.0,0.233,0.019,128.0,0.03,0.061,16.3,tests performed,,,,,,,,,,48.15,4314768.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,
PAN,North America,Panama,2020-03-17,69.0,14.0,9.714,1.0,0.0,0.143,15.992,3.245,2.251,0.232,0.0,0.033,,,,,,,,,,241.0,1245.0,0.289,0.056,158.0,0.037,0.061,16.3,tests performed,,,,,,,,,,51.85,4314768.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,
PAN,North America,Panama,2020-03-18,86.0,17.0,11.143,1.0,0.0,0.0,19.932,3.94,2.582,0.232,0.0,0.0,,,,,,,,,,210.0,1455.0,0.337,0.049,182.0,0.042,0.061,16.3,tests performed,,,,,,,,,,51.85,4314768.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,
