iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
PLW,Oceania,Palau,2021-05-31,1.0,1.0,,,,,55.273,55.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-01,1.0,0.0,,,,,55.273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-02,1.0,0.0,,,,,55.273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-03,1.0,0.0,,,,,55.273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-04,1.0,0.0,,,,,55.273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-05,1.0,0.0,0.143,,,0.0,55.273,0.0,7.896,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-06,1.0,0.0,0.143,,,0.0,55.273,0.0,7.896,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-07,1.0,0.0,0.0,,,0.0,55.273,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-08,1.0,0.0,0.0,,,0.0,55.273,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-09,1.0,0.0,0.0,,,0.0,55.273,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-10,1.0,0.0,0.0,,,0.0,55.273,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-11,2.0,1.0,0.143,,,0.0,110.546,55.273,7.896,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-12,2.0,0.0,0.143,,,0.0,110.546,0.0,7.896,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-13,2.0,0.0,0.143,,,0.0,110.546,0.0,7.896,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-14,2.0,0.0,0.143,,,0.0,110.546,0.0,7.896,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-15,2.0,0.0,0.143,,,0.0,110.546,0.0,7.896,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-16,2.0,0.0,0.143,,,0.0,110.546,0.0,7.896,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-17,2.0,0.0,0.143,,,0.0,110.546,0.0,7.896,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-18,2.0,0.0,0.0,,,0.0,110.546,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-19,2.0,0.0,0.0,,,0.0,110.546,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
PLW,Oceania,Palau,2021-06-20,2.0,0.0,0.0,,,0.0,110.546,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18092.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,
