iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
QAT,Asia,Qatar,2020-02-29,1.0,1.0,,,,,0.347,0.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,5.1
QAT,Asia,Qatar,2020-03-01,3.0,2.0,,,,,1.041,0.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-02,3.0,0.0,,,,,1.041,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-03,7.0,4.0,,,,,2.43,1.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-04,8.0,1.0,,,,,2.777,0.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-05,8.0,0.0,1.143,,,0.0,2.777,0.0,0.397,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-06,8.0,0.0,1.143,,,0.0,2.777,0.0,0.397,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-07,8.0,0.0,1.0,,,0.0,2.777,0.0,0.347,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-08,15.0,7.0,1.714,,,0.0,5.206,2.43,0.595,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-09,18.0,3.0,2.143,,,0.0,6.248,1.041,0.744,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-10,24.0,6.0,2.429,,,0.0,8.33,2.083,0.843,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-11,262.0,238.0,36.286,,,0.0,90.939,82.608,12.595,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-12,262.0,0.0,36.286,,,0.0,90.939,0.0,12.595,,,0.0,0.88,,,,,,,,,,5309.0,1.843,,,,,,people tested,,,,,,,,,,30.56,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-13,320.0,58.0,44.571,,,0.0,111.07,20.131,15.47,,,0.0,0.98,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,30.56,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-14,337.0,17.0,47.0,,,0.0,116.971,5.901,16.313,,,0.0,0.91,,,,,,,,,,6788.0,2.356,,,,,,people tested,,,,,,,,,,30.56,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-15,401.0,64.0,55.143,,,0.0,139.185,22.214,19.14,,,0.0,0.92,,,,,,,,,1162.0,7950.0,2.759,0.403,,,,,people tested,,,,,,,,,,41.67,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-16,439.0,38.0,60.143,,,0.0,152.374,13.19,20.875,,,0.0,0.79,,,,,,,,,425.0,8375.0,2.907,0.148,,,,,people tested,,,,,,,,,,41.67,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-17,439.0,0.0,59.286,,,0.0,152.374,0.0,20.578,,,0.0,0.59,,,,,,,,,172.0,8547.0,2.967,0.06,,,,,people tested,,,,,,,,,,61.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-18,452.0,13.0,27.143,,,0.0,156.887,4.512,9.421,,,0.0,0.58,,,,,,,,,326.0,8873.0,3.08,0.113,,,,,people tested,,,,,,,,,,63.89,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-19,460.0,8.0,28.286,,,0.0,159.663,2.777,9.818,,,0.0,0.54,,,,,,,,,587.0,9460.0,3.284,0.204,593.0,0.206,0.048,21.0,people tested,,,,,,,,,,63.89,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-20,470.0,10.0,21.429,,,0.0,163.134,3.471,7.438,,,0.0,0.46,,,,,,,,,456.0,9916.0,3.442,0.158,552.0,0.192,0.039,25.8,people tested,,,,,,,,,,63.89,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-21,481.0,11.0,20.571,,,0.0,166.952,3.818,7.14,,,0.0,0.46,,,,,,,,,442.0,10358.0,3.595,0.153,510.0,0.177,0.04,24.8,people tested,,,,,,,,,,63.89,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-22,494.0,13.0,13.286,,,0.0,171.465,4.512,4.611,,,0.0,0.47,,,,,,,,,499.0,10857.0,3.768,0.173,415.0,0.144,0.032,31.2,people tested,,,,,,,,,,80.56,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-23,501.0,7.0,8.857,,,0.0,173.894,2.43,3.074,,,0.0,0.61,,,,,,,,,497.0,11354.0,3.941,0.173,426.0,0.148,0.021,48.1,people tested,,,,,,,,,,80.56,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-24,526.0,25.0,12.429,,,0.0,182.572,8.677,4.314,,,0.0,0.85,,,,,,,,,177.0,11531.0,4.002,0.061,426.0,0.148,0.029,34.3,people tested,,,,,,,,,,80.56,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-25,537.0,11.0,12.143,,,0.0,186.39,3.818,4.215,,,0.0,0.96,,,,,,,,,727.0,12258.0,4.255,0.252,484.0,0.168,0.025,39.9,people tested,,,,,,,,,,80.56,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-26,549.0,12.0,12.714,,,0.0,190.555,4.165,4.413,,,0.0,1.06,,,,,,,,,1423.0,13681.0,4.749,0.494,603.0,0.209,0.021,47.4,people tested,,,,,,,,,,80.56,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-27,562.0,13.0,13.143,,,0.0,195.067,4.512,4.562,,,0.0,1.24,,,,,,,,,1164.0,14845.0,5.153,0.404,704.0,0.244,0.019,53.6,people tested,,,,,,,,,,80.56,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-28,590.0,28.0,15.571,1.0,1.0,0.143,204.786,9.719,5.405,0.347,0.347,0.05,1.56,,,,,,,,,1737.0,16582.0,5.756,0.603,889.0,0.309,0.018,57.1,people tested,,,,,,,,,,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-29,634.0,44.0,20.0,1.0,0.0,0.143,220.058,15.272,6.942,0.347,0.0,0.05,1.94,,,,,,,,,2295.0,18877.0,6.552,0.797,1146.0,0.398,0.017,57.3,people tested,,,,,,,,,,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
QAT,Asia,Qatar,2020-03-30,693.0,59.0,27.429,1.0,0.0,0.143,240.536,20.479,9.52,0.347,0.0,0.05,2.29,,,,,,,,,1181.0,20058.0,6.962,0.41,1243.0,0.431,0.022,45.3,people tested,,,,,,,,,,86.11,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,
