iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
SLV,North America,El Salvador,2020-03-19,1.0,1.0,,,,,0.154,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
SLV,North America,El Salvador,2020-03-20,1.0,0.0,,,,,0.154,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
SLV,North America,El Salvador,2020-03-21,3.0,2.0,,,,,0.463,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
SLV,North America,El Salvador,2020-03-22,3.0,0.0,,,,,0.463,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
SLV,North America,El Salvador,2020-03-23,3.0,0.0,,,,,0.463,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
SLV,North America,El Salvador,2020-03-24,5.0,2.0,0.714,,,0.0,0.771,0.308,0.11,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
SLV,North America,El Salvador,2020-03-25,9.0,4.0,1.286,,,0.0,1.388,0.617,0.198,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
SLV,North America,El Salvador,2020-03-26,13.0,4.0,1.714,,,0.0,2.004,0.617,0.264,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
SLV,North America,El Salvador,2020-03-27,13.0,0.0,1.714,,,0.0,2.004,0.0,0.264,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
SLV,North America,El Salvador,2020-03-28,19.0,6.0,2.286,,,0.0,2.929,0.925,0.352,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
SLV,North America,El Salvador,2020-03-29,24.0,5.0,3.0,,,0.0,3.7,0.771,0.463,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
SLV,North America,El Salvador,2020-03-30,30.0,6.0,3.857,,,0.0,4.625,0.925,0.595,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
SLV,North America,El Salvador,2020-03-31,32.0,2.0,3.857,1.0,1.0,0.143,4.934,0.308,0.595,0.154,0.154,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
SLV,North America,El Salvador,2020-04-01,32.0,0.0,3.286,1.0,0.0,0.143,4.934,0.0,0.507,0.154,0.0,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
SLV,North America,El Salvador,2020-04-02,41.0,9.0,4.0,2.0,1.0,0.286,6.321,1.388,0.617,0.308,0.154,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
SLV,North America,El Salvador,2020-04-03,46.0,5.0,4.714,2.0,0.0,0.286,7.092,0.771,0.727,0.308,0.0,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.89,6486201.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
