iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
SVK,Europe,Slovakia,2020-01-06,,,,,,,,,,,,,,,,,,,,5.002,0.916,,,,,,,,,,,,,,,,,,,0.0,5459643.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,
SVK,Europe,Slovakia,2020-01-18,,,,,,,,,,,,,,,,,,,,5.002,0.916,,,,,,,,,,,,,,,,,,,0.0,5459643.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,
SVK,Europe,Slovakia,2020-01-24,,,,,,,,,,,,,,,,,,,,1.0,0.183,,,,,,,,,,,,,,,,,,,0.0,5459643.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,
SVK,Europe,Slovakia,2020-02-02,,,,,,,,,,,,,,,,,,,,4.001,0.733,,,,,,,,,,,,,,,,,,,2.78,5459643.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,-5.08
SVK,Europe,Slovakia,2020-02-09,,,,,,,,,,,,,,,,,,,,1.0,0.183,,,,,,,,,,,,,,,,,,,2.78,5459643.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,-7.74
SVK,Europe,Slovakia,2020-02-15,,,,,,,,,,,,,,,,,,,,2.001,0.366,,,,,,,,,,,,,,,,,,,2.78,5459643.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,
SVK,Europe,Slovakia,2020-03-06,1.0,1.0,,,,,0.183,0.183,,,,,,,,,,,,,,378.0,378.0,0.069,0.069,,,,,tests performed,,,,,,,,,,16.67,5459643.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,
SVK,Europe,Slovakia,2020-03-07,1.0,0.0,,,,,0.183,0.0,,,,,,,,,,,,,,66.0,444.0,0.081,0.012,,,,,tests performed,,,,,,,,,,16.67,5459643.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,
SVK,Europe,Slovakia,2020-03-08,3.0,2.0,,,,,0.549,0.366,,,,,,,,,,,,7.002,1.283,76.0,520.0,0.095,0.014,,,,,tests performed,,,,,,,,,,16.67,5459643.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,-1.34
SVK,Europe,Slovakia,2020-03-09,3.0,0.0,,,,,0.549,0.0,,,,,,,,,,,,,,69.0,589.0,0.108,0.013,,,,,tests performed,,,,,,,,,,22.22,5459643.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,
