iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
SYR,Asia,Syria,2020-03-22,1.0,1.0,,,,,0.057,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,17500657.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567
SYR,Asia,Syria,2020-03-23,1.0,0.0,,,,,0.057,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,17500657.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567
SYR,Asia,Syria,2020-03-24,1.0,0.0,,,,,0.057,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,17500657.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567
SYR,Asia,Syria,2020-03-25,5.0,4.0,,,,,0.286,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,17500657.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567
SYR,Asia,Syria,2020-03-26,5.0,0.0,,,,,0.286,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,17500657.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567
SYR,Asia,Syria,2020-03-27,5.0,0.0,0.714,,,0.0,0.286,0.0,0.041,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,17500657.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567
SYR,Asia,Syria,2020-03-28,5.0,0.0,0.714,,,0.0,0.286,0.0,0.041,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,17500657.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567
SYR,Asia,Syria,2020-03-29,9.0,4.0,1.143,1.0,1.0,0.143,0.514,0.229,0.065,0.057,0.057,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,17500657.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567
SYR,Asia,Syria,2020-03-30,10.0,1.0,1.286,2.0,1.0,0.286,0.571,0.057,0.073,0.114,0.057,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,17500657.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567
SYR,Asia,Syria,2020-03-31,10.0,0.0,1.286,2.0,0.0,0.286,0.571,0.0,0.073,0.114,0.0,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,17500657.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567
