iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
THA,Asia,Thailand,2020-01-04,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,,,,,tests performed,,,,,,,,,,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,
THA,Asia,Thailand,2020-01-05,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,,,,,tests performed,,,,,,,,,,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,
THA,Asia,Thailand,2020-01-06,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,0.0,0.0,,,,,tests performed,,,,,,,,,,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,
THA,Asia,Thailand,2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,
THA,Asia,Thailand,2020-01-08,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,0.0,0.0,,,,,tests performed,,,,,,,,,,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,
THA,Asia,Thailand,2020-01-09,,,,,,,,,,,,,,,,,,,,,,13.0,23.0,0.0,0.0,,,,,tests performed,,,,,,,,,,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,
THA,Asia,Thailand,2020-01-10,,,,,,,,,,,,,,,,,,,,,,18.0,41.0,0.001,0.0,,,,,tests performed,,,,,,,,,,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,
THA,Asia,Thailand,2020-01-11,,,,,,,,,,,,,,,,,,,,,,3.0,44.0,0.001,0.0,6.0,0.0,,,tests performed,,,,,,,,,,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,
THA,Asia,Thailand,2020-01-12,,,,,,,,,,,,,,,,,,,,,,6.0,50.0,0.001,0.0,7.0,0.0,,,tests performed,,,,,,,,,,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,
THA,Asia,Thailand,2020-01-13,,,,,,,,,,,,,,,,,,,,,,14.0,64.0,0.001,0.0,8.0,0.0,,,tests performed,,,,,,,,,,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,
THA,Asia,Thailand,2020-01-14,,,,,,,,,,,,,,,,,,,,,,7.0,71.0,0.001,0.0,9.0,0.0,,,tests performed,,,,,,,,,,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,
THA,Asia,Thailand,2020-01-15,,,,,,,,,,,,,,,,,,,,,,12.0,83.0,0.001,0.0,10.0,0.0,,,tests performed,,,,,,,,,,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,
THA,Asia,Thailand,2020-01-16,,,,,,,,,,,,,,,,,,,,,,9.0,92.0,0.001,0.0,10.0,0.0,,,tests performed,,,,,,,,,,0.0,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,
