iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
TJK,Asia,Tajikistan,2020-04-30,15.0,15.0,,,,,1.573,1.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-01,15.0,0.0,,,,,1.573,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-02,76.0,61.0,,2.0,2.0,,7.968,6.396,,0.21,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-03,128.0,52.0,,2.0,0.0,,13.421,5.452,,0.21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-04,230.0,102.0,,3.0,1.0,,24.115,10.694,,0.315,0.105,,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-05,293.0,63.0,41.857,5.0,2.0,0.714,30.72,6.605,4.389,0.524,0.21,0.075,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-06,379.0,86.0,54.143,8.0,3.0,1.143,39.737,9.017,5.677,0.839,0.315,0.12,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-07,461.0,82.0,63.714,12.0,4.0,1.714,48.335,8.598,6.68,1.258,0.419,0.18,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-08,522.0,61.0,72.429,12.0,0.0,1.714,54.731,6.396,7.594,1.258,0.0,0.18,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-09,612.0,90.0,76.571,20.0,8.0,2.571,64.167,9.436,8.028,2.097,0.839,0.27,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-10,612.0,0.0,69.143,20.0,0.0,2.571,64.167,0.0,7.249,2.097,0.0,0.27,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-11,661.0,49.0,61.571,21.0,1.0,2.571,69.304,5.138,6.456,2.202,0.105,0.27,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-12,729.0,68.0,62.286,21.0,0.0,2.286,76.434,7.13,6.531,2.202,0.0,0.24,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-13,801.0,72.0,60.286,23.0,2.0,2.143,83.983,7.549,6.321,2.411,0.21,0.225,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-14,907.0,106.0,63.714,29.0,6.0,2.429,95.097,11.114,6.68,3.041,0.629,0.255,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-15,1118.0,211.0,85.143,33.0,4.0,3.0,117.22,22.123,8.927,3.46,0.419,0.315,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-16,1322.0,204.0,101.429,36.0,3.0,2.286,138.609,21.389,10.635,3.775,0.315,0.24,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-17,1524.0,202.0,130.286,39.0,3.0,2.714,159.788,21.179,13.66,4.089,0.315,0.285,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-18,1729.0,205.0,152.571,41.0,2.0,2.857,181.282,21.494,15.997,4.299,0.21,0.3,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-19,1936.0,207.0,172.429,41.0,0.0,2.857,202.985,21.703,18.079,4.299,0.0,0.3,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-20,2140.0,204.0,191.286,41.0,0.0,2.571,224.374,21.389,20.056,4.299,0.0,0.27,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-21,2350.0,210.0,206.143,44.0,3.0,2.143,246.392,22.018,21.614,4.613,0.315,0.225,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-22,2551.0,201.0,204.714,44.0,0.0,1.571,267.467,21.074,21.464,4.613,0.0,0.165,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-23,2738.0,187.0,202.286,44.0,0.0,1.143,287.073,19.607,21.209,4.613,0.0,0.12,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-24,2929.0,191.0,200.714,46.0,2.0,1.0,307.099,20.026,21.044,4.823,0.21,0.105,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-25,3100.0,171.0,195.857,46.0,0.0,0.714,325.028,17.929,20.535,4.823,0.0,0.075,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
TJK,Asia,Tajikistan,2020-05-26,3266.0,166.0,190.0,47.0,1.0,0.857,342.433,17.405,19.921,4.928,0.105,0.09,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
