iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
TON,Oceania,Tonga,2021-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2287.0,2287.0,,,,2.16,2.16,,,47.22,105697.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,
TON,Oceania,Tonga,2021-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.0,,,,4021.0,47.22,105697.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,
TON,Oceania,Tonga,2021-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.0,,,,4021.0,47.22,105697.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,
TON,Oceania,Tonga,2021-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.0,,,,4021.0,47.22,105697.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,
TON,Oceania,Tonga,2021-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.0,,,,4021.0,47.22,105697.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,
TON,Oceania,Tonga,2021-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.0,,,,4021.0,47.22,105697.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,
TON,Oceania,Tonga,2021-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.0,,,,4021.0,47.22,105697.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,
TON,Oceania,Tonga,2021-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.0,,,,4021.0,47.22,105697.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,
TON,Oceania,Tonga,2021-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.0,,,,4021.0,47.22,105697.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,
TON,Oceania,Tonga,2021-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.0,,,,4021.0,47.22,105697.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,
