iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
TUN,Africa,Tunisia,2020-03-04,1.0,1.0,,,,,0.085,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,
TUN,Africa,Tunisia,2020-03-05,1.0,0.0,,,,,0.085,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,
TUN,Africa,Tunisia,2020-03-06,1.0,0.0,,,,,0.085,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,
TUN,Africa,Tunisia,2020-03-07,1.0,0.0,,,,,0.085,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,
TUN,Africa,Tunisia,2020-03-08,2.0,1.0,,,,,0.169,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,-2.82
TUN,Africa,Tunisia,2020-03-09,2.0,0.0,0.286,,,0.0,0.169,0.0,0.024,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,
TUN,Africa,Tunisia,2020-03-10,5.0,3.0,0.714,,,0.0,0.423,0.254,0.06,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,
TUN,Africa,Tunisia,2020-03-11,7.0,2.0,0.857,,,0.0,0.592,0.169,0.073,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,
TUN,Africa,Tunisia,2020-03-12,7.0,0.0,0.857,,,0.0,0.592,0.0,0.073,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,
TUN,Africa,Tunisia,2020-03-13,16.0,9.0,2.143,,,0.0,1.354,0.762,0.181,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,
TUN,Africa,Tunisia,2020-03-14,18.0,2.0,2.429,,,0.0,1.523,0.169,0.205,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,
TUN,Africa,Tunisia,2020-03-15,18.0,0.0,2.286,,,0.0,1.523,0.0,0.193,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,-2.14
TUN,Africa,Tunisia,2020-03-16,20.0,2.0,2.571,,,0.0,1.692,0.169,0.218,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,
TUN,Africa,Tunisia,2020-03-17,24.0,4.0,2.714,,,0.0,2.031,0.338,0.23,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,
TUN,Africa,Tunisia,2020-03-18,29.0,5.0,3.143,,,0.0,2.454,0.423,0.266,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,
TUN,Africa,Tunisia,2020-03-19,39.0,10.0,4.571,1.0,1.0,0.143,3.3,0.846,0.387,0.085,0.085,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,
TUN,Africa,Tunisia,2020-03-20,54.0,15.0,5.429,1.0,0.0,0.143,4.569,1.269,0.459,0.085,0.0,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,
