iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
VGB,North America,British Virgin Islands,2021-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15031.0,11255.0,3776.0,,,49.71,37.22,12.49,,,30237.0,207.973,,,,,,,13.67,,,,,79.07,,
VGB,North America,British Virgin Islands,2021-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,,,,6019.0,,30237.0,207.973,,,,,,,13.67,,,,,79.07,,
VGB,North America,British Virgin Islands,2021-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,,,,6019.0,,30237.0,207.973,,,,,,,13.67,,,,,79.07,,
VGB,North America,British Virgin Islands,2021-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,,,,6019.0,,30237.0,207.973,,,,,,,13.67,,,,,79.07,,
VGB,North America,British Virgin Islands,2021-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,,,,6019.0,,30237.0,207.973,,,,,,,13.67,,,,,79.07,,
VGB,North America,British Virgin Islands,2021-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,,,,6019.0,,30237.0,207.973,,,,,,,13.67,,,,,79.07,,
VGB,North America,British Virgin Islands,2021-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,,,,6019.0,,30237.0,207.973,,,,,,,13.67,,,,,79.07,,
VGB,North America,British Virgin Islands,2021-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16302.0,11553.0,4749.0,,182.0,53.91,38.21,15.71,6019.0,,30237.0,207.973,,,,,,,13.67,,,,,79.07,,
VGB,North America,British Virgin Islands,2021-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,,,,6251.0,,30237.0,207.973,,,,,,,13.67,,,,,79.07,,
VGB,North America,British Virgin Islands,2021-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.0,,,,6482.0,,30237.0,207.973,,,,,,,13.67,,,,,79.07,,
VGB,North America,British Virgin Islands,2021-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.0,,,,6714.0,,30237.0,207.973,,,,,,,13.67,,,,,79.07,,
VGB,North America,British Virgin Islands,2021-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,,,,6945.0,,30237.0,207.973,,,,,,,13.67,,,,,79.07,,
VGB,North America,British Virgin Islands,2021-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0,,,,7177.0,,30237.0,207.973,,,,,,,13.67,,,,,79.07,,
VGB,North America,British Virgin Islands,2021-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.0,,,,7408.0,,30237.0,207.973,,,,,,,13.67,,,,,79.07,,
VGB,North America,British Virgin Islands,2021-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.0,,,,7640.0,,30237.0,207.973,,,,,,,13.67,,,,,79.07,,
VGB,North America,British Virgin Islands,2021-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.0,,,,7640.0,,30237.0,207.973,,,,,,,13.67,,,,,79.07,,
VGB,North America,British Virgin Islands,2021-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.0,,,,7640.0,,30237.0,207.973,,,,,,,13.67,,,,,79.07,,
