iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ZWE,Africa,Zimbabwe,2020-03-20,1.0,1.0,,,,,0.067,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-03-21,3.0,2.0,,,,,0.202,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-03-22,3.0,0.0,,,,,0.202,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-03-23,3.0,0.0,,1.0,1.0,,0.202,0.0,,0.067,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-03-24,3.0,0.0,,1.0,0.0,,0.202,0.0,,0.067,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-03-25,3.0,0.0,0.429,1.0,0.0,0.143,0.202,0.0,0.029,0.067,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-03-26,3.0,0.0,0.429,1.0,0.0,0.143,0.202,0.0,0.029,0.067,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-03-27,5.0,2.0,0.571,1.0,0.0,0.143,0.336,0.135,0.038,0.067,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-03-28,7.0,2.0,0.571,1.0,0.0,0.143,0.471,0.135,0.038,0.067,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-03-29,7.0,0.0,0.571,1.0,0.0,0.143,0.471,0.0,0.038,0.067,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-03-30,7.0,0.0,0.571,1.0,0.0,0.0,0.471,0.0,0.038,0.067,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-03-31,8.0,1.0,0.714,1.0,0.0,0.0,0.538,0.067,0.048,0.067,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-04-01,8.0,0.0,0.714,1.0,0.0,0.0,0.538,0.0,0.048,0.067,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-04-02,9.0,1.0,0.857,1.0,0.0,0.0,0.606,0.067,0.058,0.067,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-04-03,9.0,0.0,0.571,1.0,0.0,0.0,0.606,0.0,0.038,0.067,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-04-04,9.0,0.0,0.286,1.0,0.0,0.0,0.606,0.0,0.019,0.067,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-04-05,9.0,0.0,0.286,1.0,0.0,0.0,0.606,0.0,0.019,0.067,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-04-06,10.0,1.0,0.429,1.0,0.0,0.0,0.673,0.067,0.029,0.067,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-04-07,11.0,1.0,0.429,2.0,1.0,0.143,0.74,0.067,0.029,0.135,0.067,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-04-08,11.0,0.0,0.429,3.0,1.0,0.286,0.74,0.0,0.029,0.202,0.067,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-04-09,11.0,0.0,0.286,3.0,0.0,0.286,0.74,0.0,0.019,0.202,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-04-10,13.0,2.0,0.571,3.0,0.0,0.286,0.875,0.135,0.038,0.202,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
ZWE,Africa,Zimbabwe,2020-04-11,14.0,1.0,0.714,3.0,0.0,0.286,0.942,0.067,0.048,0.202,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.96,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
